seqnames	start	end	width	strand	Conc	Conc_Q	Conc_WT	Fold	p.value	FDR
IV	1095187	1095587	401	*	7.496948234530791	7.071416851788112	7.9649093435357186	-0.3453963421855751	0.004771718644661907	0.10557427501314469
XIII	282922	283322	401	*	9.611428420123456	9.873712079311709	9.098783946675205	0.2746321927527949	0.006012603828929443	0.1297842533805502
XVI	6682	7082	401	*	3.7964286262760405	4.342485657604733	2.1061422359179125	0.6035158920901414	0.006441882797838679	0.13573967324017217
VII	1084045	1084445	401	*	10.81112567266822	11.072363065803884	10.301163137641725	0.2631255711284209	0.006925319568050565	0.1425327399470872
VII	1000198	1000598	401	*	9.209052960811166	9.454121099621986	8.73967686314741	0.23805612464437093	0.007615322813277479	0.15317183385796748
IX	54094	54494	401	*	9.499690852476016	9.816155830285238	8.837885260053467	0.31282969384775827	0.00824824204078394	0.16221542680208417
V	461842	462242	401	*	9.121524947731306	9.35106981092139	8.689659213950307	0.20260298793074216	0.011053231058929804	0.2126545540685408
X	424187	424587	401	*	8.237871601358506	8.473384377482828	7.791747788332008	0.20360896715067156	0.011985208284901478	0.22177161977907517
XIII	169877	170277	401	*	8.269690011702975	8.487385016831778	7.865554033826545	0.1913082703248102	0.012127019633861577	0.22177161977907517
XIII	517397	517797	401	*	6.285708802837538	5.920639897646384	6.702929229928764	-0.22040637138340247	0.012278880643135235	0.22177161977907517
IX	117624	118024	401	*	6.269971705728885	5.881677744447929	6.707147394095897	-0.22354864221226425	0.013962643274884185	0.23974597704116285
V	294960	295360	401	*	8.093833607949131	8.327377374729833	7.652436126493302	0.193065841385051	0.013971234027571756	0.23974597704116285
III	246613	247013	401	*	7.017972091332638	6.716863378443847	7.37699545306921	-0.18869576119111905	0.014086769272475104	0.23974597704116285
XI	260533	260933	401	*	9.465431486094209	9.694736774527328	9.034133970535633	0.18687499921170433	0.014590147477544037	0.24362793429483912
XIII	661704	662104	401	*	8.575088258283316	8.87539888752207	7.959990644490666	0.22551193455583138	0.016374124626476916	0.26154073026925595
XV	241148	241548	401	*	7.65227570178528	7.381793292485845	7.981613546755087	-0.1720157426638672	0.016468159298931532	0.26154073026925595
VIII	315994	316394	401	*	6.2616834293596595	5.9169713459268864	6.660911769005849	-0.19321990065701936	0.016791450389063173	0.26154073026925595
IX	41455	41855	401	*	6.771502579583864	6.431167489191463	7.166799319171786	-0.19133623883815118	0.01684499618683343	0.26154073026925595
VII	483677	484077	401	*	9.159396062093254	9.421178285439513	8.648037805404838	0.19467680317358838	0.01754273193867046	0.26767789251247165
XVI	812707	813107	401	*	7.946104306237499	8.14611849439475	7.581971085729581	0.1613902734548062	0.01947378885527302	0.29210683282909533
V	284571	284971	401	*	8.824222485278769	9.048533586902522	8.404698117029099	0.16408339119706547	0.021545297990002026	0.3177931453525299
IV	1288966	1289366	401	*	6.7655040217922116	6.434527955987551	7.152317550548143	-0.1699864351670762	0.022284214219941926	0.32330376368276403
XV	1043376	1043776	401	*	10.47691549239319	10.737812667951294	9.96782356017922	0.1707496858542323	0.024925652811819337	0.3401967702816234
X	294374	294774	401	*	8.601207294969072	8.796771047146134	8.246895405004954	0.14942048853677167	0.02494062641332578	0.3401967702816234
VI	95584	95984	401	*	10.621964381526885	10.846432395218208	10.202072189015064	0.15534267328805765	0.025504737747658844	0.3401967702816234
XVI	406238	406638	401	*	7.3952773402257845	7.1147668371017785	7.734472366769074	-0.1542631933426614	0.02551269849940104	0.3401967702816234
XVI	425229	425629	401	*	9.746157950197833	9.952556202251722	9.367764727106403	0.15042879476835722	0.025596305806794232	0.3401967702816234
X	291116	291516	401	*	8.4439611392710745	8.668862654592068	8.023052061290674	0.1552900245045461	0.02575500972753533	0.3401967702816234
III	122622	123022	401	*	10.727402730994884	11.005649623687702	10.172958871410463	0.17273835889798508	0.027249837993794233	0.3546486268309985
XVI	257000	257400	401	*	9.24043065055594	9.417968817520903	8.924928864067704	0.14130605880347538	0.02865382546591248	0.36604745331291944
XI	382357	382757	401	*	9.084189606129994	9.335543471072718	8.599224930441332	0.15780995684685553	0.02895290591175634	0.36604745331291944
V	152918	153318	401	*	8.203610366143343	8.433500600438569	7.77092492838013	0.14916589239598188	0.029960424032064076	0.3719641662946064
XV	908671	909071	401	*	10.441128466632678	10.659412788977935	10.03563128312875	0.1447156084287977	0.03062735647439808	0.3719641662946064
VII	401305	401705	401	*	7.572677991520904	7.808245264015357	7.126423055205803	0.14954040725574527	0.030681789988142673	0.3719641662946064
X	374310	374710	401	*	7.116569450153516	7.322827490784402	6.738491615563774	0.14133486249202887	0.03179442114497378	0.37625253852490065
X	136236	136636	401	*	9.564932634585013	9.770079599518297	9.189350512840429	0.14024975260593256	0.03188580834956785	0.37625253852490065
X	521641	522041	401	*	8.464409179163681	8.658798306232079	8.112673343552276	0.13648227808878072	0.0336272151911238	0.39028188987493684
II	624912	625312	401	*	9.314442895755878	9.541635576981818	8.88814228423275	0.14185695709726728	0.033956729401548175	0.39028188987493684
XIV	112547	112947	401	*	9.553511358815319	9.803025471272296	9.073133771794238	0.14490018646996314	0.035819297417036114	0.40641125915483284
VII	905363	905763	401	*	10.512671018928405	10.709210077164665	10.156215099651716	0.13115497482853206	0.038150630521794654	0.4189903133070546
XI	428907	429307	401	*	7.460866183865931	7.679599822429957	7.054329931536637	0.1342145888882069	0.038166773372766166	0.4189903133070546
II	-79	321	401	*	6.528634637446988	6.801584652052025	5.9882467781630915	0.14948767958390205	0.038348265963696525	0.4189903133070546
IV	302827	303227	401	*	8.04124948822683	7.813302370096288	8.327215633060378	-0.12812765262415587	0.0402513167776621	0.4344196993686702
IV	465049	465449	401	*	9.565392536816034	9.763696874908039	9.205044155638305	0.12743140914966347	0.041768821622686574	0.4444155820666357
XV	87141	87541	401	*	6.421857305724194	6.629484632633856	6.040695158390483	0.1280614930358104	0.042181817958867114	0.4444155820666357
XV	288247	288647	401	*	6.911154523627488	7.091800178360365	6.589070422018174	0.1241624479190257	0.04416587198793362	0.4598446671684853
IV	431884	432284	401	*	9.146772309993922	9.36510704280667	8.74115860284698	0.1255662017496361	0.0458489590265688	0.46208720635719847
VIII	48231	48631	401	*	8.776071691912978	8.966946021840405	8.432004311200288	0.12286393866256763	0.045934318847449626	0.46208720635719847
VII	609805	610205	401	*	9.994423588513623	10.178191419243111	9.665681281800456	0.12259713539366811	0.04594765441743894	0.46208720635719847
VII	771878	772278	401	*	9.610643950217982	9.86314894995234	9.122798706226813	0.13008981753833376	0.047846628576739145	0.4757782729260016
IX	77645	78045	401	*	5.565969421089365	5.268536243602365	5.9214951679177155	-0.122885154308887	0.049115265487765174	0.48296677729635756
X	173158	173558	401	*	8.915204687086337	9.191495996333954	8.36597221737724	0.13222896706650195	0.051069809100152457	0.4966679236663178
IV	894081	894481	401	*	10.26705114378265	10.450183970467126	9.939666677418353	0.11645102156870492	0.053344092510297716	0.511702106863001
V	280846	281246	401	*	8.837600377002442	9.042290749630311	8.46304205235492	0.11678190360681749	0.05395024462327423	0.511702106863001
XI	355615	356015	401	*	10.321621713723086	10.540278855940743	9.915262439193961	0.11742306431599346	0.05471716327237731	0.511702106863001
XVI	822073	822473	401	*	9.15657697462823	9.349557703264955	8.807921071248087	0.11536188694826965	0.05492847474800575	0.511702106863001
XVI	339418	339818	401	*	9.650407724350798	9.822696712290918	9.345925212227137	0.11344569017414172	0.05776105333286556	0.530653837594396
XI	258602	259002	401	*	9.579505268667459	9.750974108308267	9.276733265092085	0.11323734836050127	0.05816205903576996	0.530653837594396
IV	386706	387106	401	*	8.131889206250186	8.343457019877011	7.741797685839685	0.11337223243283094	0.05916473847190393	0.534293811710561
XI	630387	630787	401	*	9.409042523321192	9.582027106377037	9.103106917225103	0.11096292704632135	0.06149149520243681	0.5496966995369351
XIII	158946	159346	401	*	7.2383432957787575	7.408756701115922	6.937768107979976	0.1094465519462486	0.06362537821578736	0.563084597209718
VII	650733	651133	401	*	8.809162996509354	8.99606221676346	8.473697238372091	0.10750084381646098	0.06617569488131736	0.5798563363362956
II	798756	799156	401	*	9.166030766685207	9.39891370581382	8.726214604389094	0.10956872152361703	0.0670710972010754	0.5803338372218738
IV	1233666	1234066	401	*	8.3011523343151	8.474837797560108	7.993750402106237	0.10674291423111919	0.0681717171632143	0.5803338372218738
X	662951	663351	401	*	10.151424989454078	10.31390252431097	9.867210758824342	0.10749719587897769	0.06819742267918065	0.5803338372218738
XII	36689	37089	401	*	8.217310874802589	8.555637277080802	7.48889513718804	0.12958150077714722	0.06896708382714661	0.5809181020462326
XVI	834221	834621	401	*	8.09468342243276	8.309532867364691	7.6970943310019155	0.10595811304136121	0.07016322589951378	0.5809181020462326
XIV	59794	60194	401	*	6.828991130959766	6.610956606576723	7.104470413101425	-0.10513775433225318	0.07023529595361232	0.5809181020462326
IV	974262	974662	401	*	8.236334945326881	8.471195831545737	7.7917783327606065	0.10664057106983664	0.07207324154550127	0.5906001737756353
XIV	96124	96524	401	*	7.419400672229581	7.21567840913936	7.679473243780585	-0.10342647622366748	0.07436716133891969	0.5943219050923573
XV	479941	480341	401	*	9.667176333917597	9.85874960438073	9.321588759304746	0.10139461313390269	0.07647577528908198	0.5943219050923573
II	159692	160092	401	*	8.65930024280263	8.818053307993857	8.382670404460164	0.1027542502547928	0.07760997963218383	0.5943219050923573
X	402412	402812	401	*	7.365685597364587	7.193905496123956	7.5901952159735915	-0.10370366792696492	0.07817405681944074	0.5943219050923573
VI	114484	114884	401	*	8.634166691064001	8.852007480195393	8.229694152406905	0.1006043628971087	0.07925912059391878	0.5943219050923573
XII	1071442	1071842	401	*	10.412585989062078	10.63483847078844	9.997874962762126	0.10049644768155547	0.08004818098910511	0.5943219050923573
XVI	840517	840917	401	*	9.102840953639753	9.271040785686957	8.806857137741378	0.0999548430716702	0.08107695334124336	0.5943219050923573
XIII	262794	263194	401	*	7.601959844501955	6.870650659083513	8.27684024670246	-0.13238977985361203	0.08174745869291537	0.5943219050923573
XII	658214	658614	401	*	8.528325373419413	8.686231986158724	8.253410959226597	0.10069642666203485	0.08179255835996195	0.5943219050923573
XIII	91654	92054	401	*	8.846411528769812	9.04638218837162	8.482374839910769	0.0982943871835757	0.08233762681653561	0.5943219050923573
VIII	214074	214474	401	*	7.22722191659818	6.7597055672219755	7.728214786572559	-0.11251378156264154	0.0829053839170639	0.5943219050923573
I	180964	181364	401	*	7.657341239305308	7.816621926050206	7.379640577980985	0.09988386179760447	0.08318955713937304	0.5943219050923573
VII	951272	951672	401	*	8.45563789870593	8.62126409714274	8.16496517967365	0.09932195431084193	0.08342389321647443	0.5943219050923573
VIII	266955	267355	401	*	7.8876660104293785	7.714783144036994	8.113431439786757	-0.10119616389982103	0.08374092041550507	0.5943219050923573
VIII	122184	122584	401	*	9.741861476077238	9.929917272980955	9.403900762611727	0.09761906527108877	0.08379350583418739	0.5943219050923573
IV	806146	806546	401	*	8.714586779477932	8.891841691866635	8.399682792279743	0.09787204218248839	0.08393154695880702	0.5943219050923573
XIII	625877	626277	401	*	7.719352554821162	7.897286467518361	7.403014948487707	0.09787805397497763	0.08394377190570018	0.5943219050923573
XI	20821	21221	401	*	10.41405351319609	10.61955546174646	10.037674700685267	0.09669936020237324	0.08563989000925624	0.5977873949110054
X	8182	8582	401	*	3.5325676040001985	3.967446779905416	2.450353964429332	0.13076834241070526	0.08578417983468666	0.5977873949110054
X	623043	623443	401	*	8.382039302695041	8.152064332925878	8.670132600563285	-0.09616225603075876	0.08700305869132745	0.6015445854830062
XIII	434231	434631	401	*	9.123723608531995	9.322876624426138	8.761498438018549	0.09554902284495195	0.08780636546868968	0.6023925072851967
XV	836628	837028	401	*	9.313399304533188	9.511910106282718	8.952594670233967	0.09492813614436191	0.08909633400157031	0.6034277900365423
XV	988694	989094	401	*	10.63427125159842	10.835216105028863	10.268071884668387	0.09422063575101815	0.09062220098841145	0.6034277900365423
III	133348	133748	401	*	9.526620770397098	9.7098783616341	9.19896966581221	0.09417156244069405	0.09136044617578143	0.6034277900365423
XIV	547406	547806	401	*	8.586793239811707	8.762462840840024	8.275228273696857	0.09440756983867836	0.09140921065723218	0.6034277900365423
XVI	643449	643849	401	*	6.9784555587680694	7.159620640918132	6.655266876856807	0.09378189539410672	0.09200296336544296	0.6034277900365423
XI	68729	69129	401	*	10.869860374279545	11.062610597079988	10.521707637293753	0.0929446619417163	0.09347761465625141	0.6034277900365423
XII	805070	805470	401	*	6.554771673043443	6.335147612927124	6.831942584598872	-0.09354980941953978	0.09354388442359358	0.6034277900365423
IV	1278556	1278956	401	*	9.847289947227663	10.049278796762646	9.47876771361233	0.09255047522380457	0.09429923318173225	0.6034277900365423
IV	1090037	1090437	401	*	6.225160121926383	6.003705880572337	6.504274008646273	-0.09286697480056533	0.09510583470623181	0.6034277900365423
VII	156140	156540	401	*	8.577110122756592	8.355649093877267	8.856231205864852	-0.09255039044069953	0.09531033603948702	0.6034277900365423
XV	877727	878127	401	*	8.978481998960698	9.142657543106901	8.690790182435807	0.09351896487179794	0.0956462263785764	0.6034277900365423
XI	202813	203213	401	*	6.720900587181834	6.514354244490255	6.984038406546984	-0.09323407055800367	0.09613934281938133	0.6034277900365423
VII	733129	733529	401	*	10.289148271528234	10.47527741330566	9.955340222539641	0.09157083558998037	0.09703611309833114	0.6047673245917117
VI	74700	75100	401	*	8.389019374941117	8.562095256235297	8.082892886627686	0.09128903491692264	0.09924153176645374	0.6141871021909899
IV	721708	722108	401	*	9.94607349650196	10.10608490472634	9.666887853456204	0.09147147226098472	0.10191522947638802	0.6156889988437417
IV	1075186	1075586	401	*	7.229547186476239	7.06320374949876	7.447835474140535	-0.09366132806513905	0.10226020594097036	0.6156889988437417
II	140532	140932	401	*	9.806690154758876	10.01335071332543	9.427706637578114	0.0890781561039954	0.10248426975659944	0.6156889988437417
XV	710021	710421	401	*	6.557186749187926	6.328979347846959	6.843426265866199	-0.0891912766585562	0.10292387076884367	0.6156889988437417
V	15990	16390	401	*	7.72358354461222	8.020079575609802	7.119223702786023	0.09810147014615389	0.10296268003262574	0.6156889988437417
XII	809069	809469	401	*	9.71736038820055	9.891016201613212	9.410020531663942	0.08923992328109032	0.1042957745884482	0.6157580012016659
XIV	776653	777053	401	*	6.997449739162648	6.808049369241538	7.241782485666401	-0.0902079858153639	0.10511218208790193	0.6157580012016659
IV	543814	544214	401	*	9.046296222215846	9.275264026117778	8.61579860572731	0.08875578072120445	0.10553295254936565	0.6157580012016659
VII	878432	878832	401	*	8.42431498587515	8.625159559511697	8.058338453983506	0.08770388845333005	0.10575730642107709	0.6157580012016659
XIII	67963	68363	401	*	6.622225092865742	6.775463984765395	6.356715909863139	0.09046329848633765	0.1068980293889799	0.6183317386225308
XVI	641236	641636	401	*	10.426460127283217	10.622584700283335	10.070915943324913	0.08672236822926477	0.10832827084938107	0.6225358422188458
XIV	479143	479543	401	*	7.998855331342784	8.155520572167573	7.726451187904739	0.0885194893479078	0.11040268239495385	0.6270604479739101
V	42042	42442	401	*	10.462134883610338	10.651545011930919	10.121244574397265	0.08578210668393799	0.11121759791136493	0.6270604479739101
X	633093	633493	401	*	7.7323075321170736	7.89662829128509	7.444317730085979	0.08751404295459086	0.11124123201345072	0.6270604479739101
V	386802	387202	401	*	6.34912051205222	6.517847141971298	6.052045979549243	0.08571748198165197	0.11313380142306001	0.6336924953127095
XVI	502691	503091	401	*	10.701163317334855	10.882518696944171	10.37756964993841	0.08430072235214088	0.11620213009168963	0.6385023927746506
XIII	472795	473195	401	*	9.377624336158293	9.505486933743379	9.161691882096285	0.0904137006619313	0.1180877814120149	0.6385023927746506
X	646858	647258	401	*	9.079933201361865	9.224626791620288	8.831407629228229	0.08730709738372733	0.11874564134699096	0.6385023927746506
XIII	773966	774366	401	*	11.430904944864555	11.600900605365997	11.131197898516428	0.08385739136967837	0.1197619437316349	0.6385023927746506
XIV	426979	427379	401	*	9.836449180241694	9.969453703471304	9.610677431656914	0.08831236282034699	0.12195719949227116	0.6385023927746506
II	466238	466638	401	*	10.052121771693253	10.198354004183308	9.800560294760531	0.0857251001354357	0.12232636758433284	0.6385023927746506
IV	591842	592242	401	*	10.667958802491032	10.851279630263711	10.340172525503078	0.08196267166473355	0.12267903859549911	0.6385023927746506
VIII	236047	236447	401	*	9.872008819413693	10.017033035468039	9.622831699025243	0.0857375903680113	0.12290229551036795	0.6385023927746506
I	189808	190208	401	*	10.819099817238039	10.987984197924082	10.52169842923286	0.08277336232621287	0.12326644304623412	0.6385023927746506
IV	1461555	1461955	401	*	8.406085394119843	8.570599536087755	8.11769862271239	0.08293423222617251	0.12417527163013901	0.6385023927746506
XV	931196	931596	401	*	9.237803832398097	9.38690402724362	8.980557759230019	0.08392916062256503	0.12687837556291257	0.6385023927746506
XIII	610417	610817	401	*	8.047806197021096	7.272343988200978	8.74708939323306	-0.10259875715147652	0.12708576934686208	0.6385023927746506
VII	809718	810118	401	*	10.44607333050905	10.609698392484525	10.159510288989646	0.08180478327341209	0.12766814274306645	0.6385023927746506
VIII	293315	293715	401	*	8.549919032398613	8.714234015960255	8.26194108383026	0.08100613527224783	0.12927028481902084	0.6385023927746506
III	137041	137441	401	*	8.163854780505098	8.32506616118215	7.882225580943438	0.08154698704999973	0.12962425282812023	0.6385023927746506
XVI	309757	310157	401	*	6.949274317478138	6.77848091747931	7.172658554672159	-0.08396981158297927	0.130304674538687	0.6385023927746506
XV	520537	520937	401	*	9.836586203920586	10.0010614249198	9.54827934115955	0.0808501114087778	0.13035154194596835	0.6385023927746506
XII	29412	29812	401	*	8.856917337030387	9.05608240777253	8.49466548254339	0.07875563147344192	0.13111180907565265	0.6385023927746506
VI	224894	225294	401	*	10.954140919980855	11.115091497671495	10.673043330056268	0.08087665639386808	0.13148052263530727	0.6385023927746506
V	242090	242490	401	*	9.1791985116218	9.354437649175134	8.868538233486902	0.07955943545580822	0.13169993353339743	0.6385023927746506
XVI	695030	695430	401	*	7.6993599240952575	7.852312181040521	7.43442531581184	0.08144934032908922	0.13215318693981445	0.6385023927746506
II	680042	680442	401	*	8.36861929957465	8.144021070123934	8.651059110146715	-0.07879443244293804	0.13262531344225748	0.6385023927746506
XII	611740	612140	401	*	8.216312459714523	8.003913236931897	8.485763349849053	-0.07912763835543257	0.13275044595755178	0.6385023927746506
XII	737682	738082	401	*	8.496627810796943	8.653565668319889	8.223672947940692	0.08068394563844747	0.13296725136342846	0.6385023927746506
XIII	70075	70475	401	*	9.969764998547321	10.107992355017192	9.733893620306771	0.08355899391947703	0.13355538922123428	0.6385023927746506
X	585356	585756	401	*	5.695017412968969	5.462191683637329	5.986090737385844	-0.07810020965384878	0.13357044045092678	0.6385023927746506
II	350741	351141	401	*	8.511412566251014	8.673267087016391	8.228471168499519	0.08008274910211646	0.13398755979154875	0.6385023927746506
VIII	375197	375597	401	*	8.257659594529473	8.407326615695622	7.99928601578885	0.08134809791150724	0.1341937232272147	0.6385023927746506
IV	98089	98489	401	*	6.991534267572999	6.816463096950991	7.219785635018573	-0.0808558990064022	0.13610819969116503	0.6441484316934816
IV	542142	542542	401	*	9.121767515550891	9.304519574500892	8.795196352773047	0.07723773318123672	0.13758920308267183	0.6448008687441622
XVI	526929	527329	401	*	8.647021225201513	8.492450980356937	8.851662881668195	-0.08298660260909861	0.13796041673998666	0.6448008687441622
X	268455	268855	401	*	8.038132862395862	8.191526660674231	7.772313018657926	0.07964879518643649	0.13843182492812522	0.6448008687441622
II	544477	544877	401	*	7.3349513053011695	7.1843147037097665	7.53497937057781	-0.08272978765757688	0.14139890642337538	0.6551729433753257
X	123082	123482	401	*	9.354132147317083	9.488832791763016	9.125092281026761	0.08131218971178433	0.14240065286533238	0.6563780093011414
XVI	586867	587267	401	*	9.21617315648687	9.413491504130292	8.858000777020834	0.07469702329040173	0.1447937145796091	0.6571200135449851
XI	92325	92725	401	*	9.674050048518401	9.842699220126411	9.377135967446529	0.07603954758171057	0.14494229286596327	0.6571200135449851
I	68348	68748	401	*	9.782278957345246	9.971677027188615	9.441414770606901	0.07470149623612762	0.14538790773393784	0.6571200135449851
XII	84073	84473	401	*	9.485888525082247	9.62385523103002	9.250523728331828	0.079797226846602	0.14559749876636938	0.6571200135449851
VII	914792	915192	401	*	7.666676340667444	7.8417947303617614	7.356269683204319	0.07489958841652845	0.14637574718943858	0.6571200135449851
XII	789809	790209	401	*	7.9127018105193185	8.083067882499407	7.612225027983178	0.07504952378738701	0.14765549628494073	0.6571200135449851
IX	249000	249400	401	*	11.038807576134149	11.202899844695875	10.751286602271099	0.07569742261786402	0.14775918948638647	0.6571200135449851
XVI	645308	645708	401	*	10.908947172825515	11.07930050047374	10.608496883844994	0.07483943740348256	0.14877232280546226	0.6583175284141705
XIV	559248	559648	401	*	9.390198914429321	9.55781434288247	9.095423656430535	0.07408188495936256	0.1523488907855188	0.6707898922645977
XII	289629	290029	401	*	7.7299163592278815	7.5650686638141735	7.9464841804109705	-0.07662267625349814	0.15460066261361347	0.6761628551195897
XI	231236	231636	401	*	10.385398155572348	10.546758525230242	10.103465132161977	0.07383699912918691	0.15551103255370866	0.6761628551195897
XV	27821	28221	401	*	6.084266955632092	5.865033959188455	6.361022042763993	-0.07272999424993366	0.1558612682987529	0.6761628551195897
VII	993864	994264	401	*	9.171806860959723	9.316245534372896	8.923783338420497	0.07516260780989659	0.15827706709819325	0.6767662793305488
VII	190768	191168	401	*	8.435544381473452	8.600788404848347	8.145657870337823	0.0727364363505806	0.1590850343421946	0.6767662793305488
XVI	582819	583219	401	*	7.432857586704105	7.690386491309991	6.932345691395371	0.07297318485095566	0.16030376327016907	0.6767662793305488
XIII	436189	436589	401	*	7.614427714393562	7.7516740356300735	7.380461605364048	0.07526606586582882	0.16033217504809186	0.6767662793305488
XV	978638	979038	401	*	11.268461650591966	11.416914644954481	11.01250134229503	0.0738985967989193	0.1612942661225711	0.6767662793305488
IV	1490042	1490442	401	*	10.399524352714472	10.565232391537196	10.108683189405165	0.07164364566922392	0.16230654383770307	0.6767662793305488
XV	464293	464693	401	*	7.5869144266307975	7.417538345652795	7.8086792544466475	-0.0743202138251536	0.16313506846070208	0.6767662793305488
XII	728223	728623	401	*	10.167365725395664	10.297268319126092	9.947541871128962	0.07594753997271236	0.16505838440934045	0.6767662793305488
XIII	167408	167808	401	*	7.497783569076604	7.129529622258131	7.917776149140399	-0.07243431600210408	0.16569907097673897	0.6767662793305488
XIII	146006	146406	401	*	8.710702854050428	8.534533415601528	8.94019883553868	-0.07253048200975287	0.16582023377640573	0.6767662793305488
