seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_SIR	Fold	p.value	FDR
X	378390	378790	401	*	6.63599708183843	6.177142186611819	6.844736554521734	-0.3938803925951016	0.006755031673957574	0.06406834164990688
XV	94417	94817	401	*	6.2500551506640925	5.801055775291026	6.455232607615044	-0.38978683110218976	0.006892709785441464	0.06446823685382998
VI	4718	5118	401	*	9.83316416760556	9.243551801276034	10.086187731970526	-0.3990629945341434	0.0069373428788360525	0.06446823685382998
V	13224	13624	401	*	6.117094399032168	5.61656508267657	6.340536441016902	-0.3955240985294717	0.007085068425563886	0.06454260832627491
VII	823370	823770	401	*	7.127898662770469	6.782608534653118	7.293493914899595	-0.3635625208385069	0.007085655914080181	0.06454260832627491
IV	258487	258887	401	*	6.076782108169596	5.457447195505405	6.339149313626179	-0.3958384946652474	0.007209050804736178	0.06502281117997337
IV	1150676	1151076	401	*	6.125772383588644	5.669806215294575	6.333471231879594	-0.39064434095123485	0.0073856547703145935	0.06583826701006729
X	402411	402811	401	*	7.097351987220818	6.678356702196777	7.29147844008958	-0.3818246318665224	0.007442586705485867	0.06583826701006729
IX	197496	197896	401	*	7.78783143306197	7.478727159984574	7.9386564261034085	-0.3409243267730967	0.007651849512765698	0.0670447766832804
X	745329	745729	401	*	9.606509279672895	8.823379862078005	9.916114620046452	-0.3742254975137927	0.007922390148000433	0.06744825828417382
II	5700	6100	401	*	10.019902586678867	9.401118310405662	10.282098980808044	-0.39065522303515476	0.007924545617814882	0.06744825828417382
VII	876247	876647	401	*	6.323849065026685	5.889232901127776	6.523768179422337	-0.3835196546725066	0.007985791164577944	0.06744825828417382
XII	628242	628642	401	*	6.896927030406766	6.457864151960664	7.0984794677445295	-0.38248472985177545	0.00799115234019016	0.06744825828417382
XI	127020	127420	401	*	7.381321506695921	7.0313154683540064	7.548803628920088	-0.3581754116451583	0.008171280684582451	0.0682558617990736
X	549713	550113	401	*	7.338349234712743	6.84682451971821	7.5586629207658556	-0.38712738702596317	0.008235218108366488	0.0682558617990736
IV	1174181	1174581	401	*	5.962704139222404	5.491903102818922	6.175717109340059	-0.3855428519514513	0.008376765882746476	0.06880914832256034
XV	673706	674106	401	*	6.863700044458547	6.485982338935228	7.042097496060413	-0.3636905146519371	0.008751099347195276	0.07102166417606107
XVI	406245	406645	401	*	6.996058235480951	6.536535218439753	7.205037986684736	-0.38291827045138543	0.008800510560946696	0.07102166417606107
XII	588930	589330	401	*	6.688934810783415	6.190068563917069	6.911801051977064	-0.38456387705831835	0.008958224350999166	0.07166579480799333
XV	92863	93263	401	*	6.86016562869039	6.4141729880924	7.064249765343859	-0.3766767831722064	0.009606059443439422	0.07618598868934714
IX	324187	324587	401	*	6.516310206160276	6.095108723412827	6.711260005055627	-0.37389878168958657	0.009786739957643606	0.07695556206010357
V	211882	212282	401	*	7.180156258658913	6.7601313009426764	7.3746671972951345	-0.3687423845252441	0.009959503466171296	0.07765036600743722
XVI	942437	942837	401	*	7.224896517185589	6.773196227088452	7.431053446251578	-0.37417452831741727	0.010319670536436057	0.07976352420139184
XV	438497	438897	401	*	6.310175657687016	5.922511968076386	6.49242015230078	-0.3657136691076957	0.010407030392994336	0.07976352420139184
VII	84238	84638	401	*	6.7642747286240335	6.39474003256286	6.939479316415221	-0.358502765707034	0.01058235309435961	0.07976352420139184
XV	571770	572170	401	*	5.874682076574067	5.412279911207578	6.084695535413317	-0.3752294520896529	0.010808946885810621	0.07976352420139184
VII	67173	67573	401	*	7.497007365054274	7.064950026309831	7.695983471099909	-0.36961535853159355	0.010829722309084182	0.07976352420139184
VI	176603	177003	401	*	7.797678813176066	7.485395736544837	7.94982235526674	-0.3359219153687993	0.010852040340386374	0.07976352420139184
II	269901	270301	401	*	6.651055890954712	6.182549143950703	6.863251846203526	-0.3724947918134025	0.01097663122218501	0.07976352420139184
IX	169656	170056	401	*	6.7894540974353514	6.3606981300402445	6.987210155368429	-0.3700556972990241	0.011001617383937007	0.07976352420139184
VIII	315994	316394	401	*	6.371166120133513	5.865457306318236	6.5963957361523065	-0.37471723872307133	0.011010834319105179	0.07976352420139184
VII	726523	726923	401	*	8.567483537604833	8.254243427873057	8.720023247242793	-0.33519239249149707	0.011263866827744235	0.08062301889986584
VIII	4909	5309	401	*	8.879500042186027	8.442940313288888	9.080133894433331	-0.36751499012018074	0.011389937621340501	0.08062301889986584
XI	589903	590303	401	*	6.941816302864229	6.5248874856042205	7.1351699863059865	-0.36447043988854944	0.011455863748147273	0.08062301889986584
XI	393411	393811	401	*	6.895415060990265	6.52503785233574	7.07094954628427	-0.3566959449458583	0.011480016821611332	0.08062301889986584
XIII	379157	379557	401	*	7.573622820664663	7.243626018953117	7.733039251036681	-0.3384840013345254	0.011704759557925371	0.08157862722190411
IV	1434314	1434714	401	*	7.742444037852415	7.440139175104136	7.89043482737789	-0.328507916473293	0.01182870156023101	0.08182259725874082
XIII	146007	146407	401	*	8.591826033622265	8.234608920450288	8.762176727730564	-0.3492615670321474	0.011941296992116324	0.08198502412497775
XV	796851	797251	401	*	7.481300244918737	7.125669508898488	7.651021594904765	-0.3452928041278839	0.012501135985310243	0.08462427498874316
IV	491087	491487	401	*	8.092586215690506	7.7767770915659264	8.246187543575665	-0.3317072361249953	0.012509675433118555	0.08462427498874316
IX	316296	316696	401	*	8.437017407220921	8.066138474647158	8.612748222166974	-0.35081120419974765	0.012650360974243298	0.08495132917010098
IV	321768	322168	401	*	8.05111610248961	7.705464040728995	8.216856473113157	-0.3427083332382159	0.012923979159459283	0.08566878537182705
VIII	466809	467209	401	*	6.711633393968816	6.25147468964337	6.9208416187721875	-0.3647012233400264	0.01302746840180998	0.08566878537182705
XIV	310129	310529	401	*	7.79381893839383	7.477372697976312	7.947683134797853	-0.33129263994189045	0.013225157241862948	0.08566878537182705
IX	210454	210854	401	*	5.9752165544361375	5.442773583241841	6.209537080169746	-0.3644647541816889	0.013296695692623024	0.08566878537182705
XV	69042	69442	401	*	6.820715433451413	6.424113842203421	7.006385851993058	-0.35204160333171763	0.013816683462665694	0.08566878537182705
XIII	517421	517821	401	*	6.034582987134313	5.50742363814666	6.267124667822796	-0.36242180212505215	0.013875907299526941	0.08566878537182705
XV	228194	228594	401	*	6.422166260653433	6.041405465310367	6.601744668114747	-0.3511456411900858	0.013923767794263166	0.08566878537182705
XVI	880146	880546	401	*	6.23434294456923	5.76628361506339	6.44637936541863	-0.3619032647603767	0.013973888584472823	0.08566878537182705
VIII	148729	149129	401	*	8.103050527173128	7.811966538688492	8.246322466207845	-0.3164775923248284	0.013978092100569441	0.08566878537182705
VII	185579	185979	401	*	6.454118068106613	5.998838079349146	6.661569312664312	-0.36071415463235834	0.014071389639463562	0.08566878537182705
III	316023	316423	401	*	9.091095203244024	8.39281033617285	9.37709461291765	-0.34731664442844506	0.014109904945708265	0.08566878537182705
VIII	556471	556871	401	*	9.134269737610698	8.302837815142768	9.45654654960315	-0.328156660335739	0.0141479424584435	0.08566878537182705
XIV	725999	726399	401	*	5.981240799824157	5.581686814616471	6.1680364482042185	-0.35490090178899203	0.014243357354087527	0.08566878537182705
XIV	374727	375127	401	*	6.467642404857254	6.067137478594596	6.654799803744105	-0.35302734175854544	0.014302993160910701	0.08566878537182705
XV	464270	464670	401	*	7.371517641930728	7.01301811792165	7.5423763854087404	-0.342013518013462	0.014425354662717925	0.08566878537182705
IV	1062929	1063329	401	*	5.847337973982486	5.39569140305171	6.053475446425023	-0.3591288207701484	0.014537755495845555	0.08566878537182705
II	605848	606248	401	*	8.131680954392705	7.787416754788039	8.296864579754148	-0.33857983983332063	0.014563714520702173	0.08566878537182705
IV	359461	359861	401	*	6.322512378398303	5.967028917918556	6.492175252498534	-0.3411962131226632	0.014564451081044316	0.08566878537182705
XII	374212	374612	401	*	6.019388974247714	5.614967688081177	6.208032745018527	-0.35369952339390637	0.014642297646001643	0.08566878537182705
IV	106740	107140	401	*	5.984689436503503	5.6016909102791574	6.165134055067492	-0.35276842777374046	0.014681400792343135	0.08566878537182705
XIV	604737	605137	401	*	8.284242648451343	8.03645875741521	8.408805906457552	-0.2886068063234041	0.014742062557148657	0.08566878537182705
XII	1051962	1052362	401	*	6.13612022348585	5.726421949976638	6.326757986425535	-0.35446535480781777	0.014835003984924714	0.08566878537182705
XVI	381358	381758	401	*	6.943353357585823	6.598200503048391	7.108893556075355	-0.3366254215172939	0.014898919195100356	0.08566878537182705
XV	901221	901621	401	*	8.468998588273772	8.17657496025316	8.612836647847907	-0.3160144548120862	0.01525134906924878	0.08715056610999303
XIII	101425	101825	401	*	6.918324369661964	6.520528798985221	7.104450226140632	-0.3488336025810015	0.01579695244247121	0.08924703826476559
IV	769076	769476	401	*	9.065039193399206	8.838296288328339	9.180215527070235	-0.2758812036607116	0.01588951274454701	0.08924703826476559
XIV	96118	96518	401	*	7.419247026678652	7.018915237426477	7.606338586471165	-0.34841096494104196	0.015909254647197345	0.08924703826476559
XV	606196	606596	401	*	7.4754981245391	7.184565485036692	7.618706057718209	-0.3147880259724595	0.01607159097622886	0.08957490316766573
XIV	568028	568428	401	*	7.225780399376855	6.905738953355962	7.38112487721063	-0.32306472733481056	0.016192255829463827	0.08957490316766573
VI	269842	270242	401	*	8.002377171080983	7.163877118829996	8.3264637792907	-0.31724375736269633	0.016259792205434973	0.08957490316766573
XI	216759	217159	401	*	8.182633815061324	7.852117789575431	8.342261535221034	-0.32891117649537815	0.016695871286150923	0.09106570692005757
VIII	505677	506077	401	*	8.188246359257326	7.8484149041155575	8.351646738391949	-0.33360967059570196	0.01673103178827795	0.09106570692005757
XV	710025	710425	401	*	6.410921289971037	5.9459119791537605	6.621868383652395	-0.3521260096364452	0.01682735888740194	0.09106570692005757
X	538389	538789	401	*	6.410931752033088	5.952026812090323	6.619689227680257	-0.3508785301490839	0.017089187245726677	0.0918407371256875
IV	569770	570170	401	*	6.593473194592534	6.189690780371993	6.7818748747231945	-0.34159895194695106	0.01717022476697636	0.0918407371256875
V	558918	559318	401	*	6.952714813539765	6.481918949366016	7.165725943765611	-0.34948234384986715	0.01755994991008565	0.09285510791927996
XVI	29710	30110	401	*	6.330112141154512	5.959720962076125	6.505652094502752	-0.3421626567643947	0.017600348592789913	0.09285510791927996
I	92484	92884	401	*	6.9223647574244325	6.537473848106158	7.103540452582445	-0.3411318589522252	0.017662656397689123	0.09285510791927996
X	415702	416102	401	*	6.63022641511184	6.28092652975039	6.79742654972859	-0.3302569909844885	0.0178973836351937	0.09349272046414887
V	396307	396707	401	*	8.650242530160524	8.377872380093706	8.78552731527973	-0.30308153365005586	0.017987186437124294	0.09349272046414887
II	347407	347807	401	*	6.5390578895104134	6.183531568271239	6.708737782374081	-0.3358955518603535	0.018182174279890183	0.09397528279493803
II	203059	203459	401	*	7.729156013150159	7.4491542304600165	7.867715877667819	-0.304021676835948	0.01829663732921654	0.09403858292111295
XII	789851	790251	401	*	7.286698500930038	6.9793490331636	7.436793847719688	-0.31351122739963555	0.018683035680256865	0.09549107125464619
IV	217185	217585	401	*	6.885393119900906	6.533768603607239	7.053520819831901	-0.329877979708726	0.018864277773530773	0.09556299474107233
II	227012	227412	401	*	7.157718298644013	6.819933109122435	7.320292890098045	-0.32675886511804825	0.018904853307473005	0.09556299474107233
VII	508428	508828	401	*	6.947003824185741	6.558492795270364	7.129574368073803	-0.3398257954060765	0.01921308462371632	0.09659037078589626
XIII	124225	124625	401	*	8.126322542251113	7.802051212658117	8.28340197132847	-0.32345241799242175	0.019422166579134884	0.09666946279630863
IX	102266	102666	401	*	7.007104787808511	6.57187601351432	7.207249329253688	-0.3421580531403647	0.019438968062301193	0.09666946279630863
XV	619214	619614	401	*	8.569097858479669	8.331697080423927	8.68905368458557	-0.2808232598068781	0.019656749396433817	0.09722693249848985
IV	1450810	1451210	401	*	6.4132328013789275	6.038122045701542	6.590615798862027	-0.3364067465271323	0.020110497363270117	0.09893934531662303
VIII	450654	451054	401	*	7.310561057233322	6.882437188169826	7.508083081653298	-0.34041036411121695	0.020442520727827367	0.09966408061039142
XV	241128	241528	401	*	7.37462273164977	6.988132433094136	7.556415276759029	-0.333454955678292	0.020562673334324107	0.09966408061039142
IV	765246	765646	401	*	7.8594803485516875	7.511344684693891	8.026215153384436	-0.32671483898093917	0.02068649781224668	0.09966408061039142
XVI	309795	310195	401	*	6.793664351254426	6.415187956905076	6.972356556879124	-0.33266857272686695	0.020691129778896478	0.09966408061039142
XVI	188573	188973	401	*	7.39254413468436	7.1050156952108	7.534309895323267	-0.30760360975258455	0.021342357222172637	0.10226546168957723
III	299004	299404	401	*	7.7108155929200874	7.161079594312954	7.95089776246805	-0.3352271920662845	0.02147030814220072	0.1023455103151537
XV	577980	578380	401	*	8.566216427767294	8.277031837933762	8.708684413479538	-0.3035472554098377	0.021836375404527514	0.10334356270122592
VII	930834	931234	401	*	6.045299311197717	5.610042458972622	6.245454181561259	-0.3366459836489353	0.021927091187528013	0.10334356270122592
IV	1401333	1401733	401	*	7.974955851864804	7.64558532169502	8.134117288676881	-0.31986104515115055	0.022121108965632793	0.10334356270122592
X	705334	705734	401	*	7.475423100338326	7.762287983477382	7.281612800264577	0.31981145072384515	0.022129002013197292	0.10334356270122592
XIV	783697	784097	401	*	9.347438161290194	8.576804647061516	9.653677049471396	-0.3042273492874873	0.02242748647583764	0.10420852301904357
III	16919	17319	401	*	6.4375737694146125	6.010753839307252	6.6346125681178085	-0.33403224738057796	0.023074189711401117	0.10547615684281288
VII	115465	115865	401	*	6.625783181896316	6.29436423957548	6.785778074914552	-0.3186483456364248	0.023110731753135827	0.10547615684281288
XVI	40291	40691	401	*	9.868490129743138	10.088853804111722	9.725593263191394	0.2801373384932482	0.023149613062821487	0.10547615684281288
XV	462246	462646	401	*	7.041141411255815	6.781376604930874	7.170962065032948	-0.29201167782338266	0.023196569910730786	0.10547615684281288
XVI	281659	282059	401	*	8.750425009234672	8.478344105892967	8.885585177629409	-0.2960239566984223	0.0232735433033598	0.10547615684281288
VIII	175006	175406	401	*	8.724695990865795	8.449246370868234	8.861305296704325	-0.29533356921729853	0.0240850165228585	0.1080564327471391
IX	174868	175268	401	*	7.514947145953908	7.175248642057531	7.67829392141374	-0.3164688074095043	0.024146661233444045	0.1080564327471391
XII	522233	522633	401	*	8.456377771769798	8.204342946274522	8.582813595836367	-0.2841483200193322	0.02419524472381593	0.1080564327471391
XIII	637023	637423	401	*	6.923953318321351	6.527982840376653	7.109382791148393	-0.32870992908411617	0.024412392762011594	0.1084995233867182
XV	274463	274863	401	*	7.210383120922137	6.8629966523045285	7.3768182004654435	-0.3152639876079909	0.02583749848642132	0.11428124330532508
XVI	378469	378869	401	*	8.653659298285767	8.397255627511555	8.7820113704253	-0.285005465503435	0.026219625331938844	0.11541653256164466
VII	541719	542119	401	*	6.238926893885129	5.902445704308904	6.400974386764334	-0.31457979693496635	0.02646930007071172	0.11548404002280187
IV	1251683	1252083	401	*	8.67183046528859	8.41946636759616	8.798411004723201	-0.28310592294212283	0.02648851120608966	0.11548404002280187
