seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_Q	Fold	p.value	FDR
XI	518592	518992	401	*	8.916435613485008	8.045856359132488	9.728006367919072	-1.4137949631576272	3.6907666857174407e-9	1.921369715799962e-7
XIII	773966	774366	401	*	10.891406614366634	10.199095589864632	11.600900605365997	-1.2201324037245787	6.4928768390652714e-9	3.0802133606478193e-7
XII	783572	783972	401	*	10.737379688897066	10.059737059645956	11.437544163005668	-1.2033697320187362	6.61288744093882e-9	3.0802133606478193e-7
XV	424176	424576	401	*	9.021249881623744	8.469447052401897	9.634518836814433	-1.049867688909546	6.989102611086795e-9	3.0926779054059066e-7
XV	1043376	1043776	401	*	9.959365438212844	9.150497911650758	10.737812667951294	-1.3403930233041397	7.839876160858253e-9	3.303947810647407e-7
IV	635945	636345	401	*	10.959040654772327	10.300254712158004	11.646980579716491	-1.1785556576288954	9.444726329284588e-9	3.799355818825845e-7
I	189808	190208	401	*	10.284676148446215	9.602118228017234	10.987984197924082	-1.2041296264785277	1.0286681973099313e-8	3.9271533064799194e-7
XIII	923997	924397	401	*	10.677975162970817	9.986838439100698	11.386727961490681	-1.2139659208424087	1.064990727180995e-8	3.9271533064799194e-7
XIV	783684	784084	401	*	10.279388190840397	9.579372526777723	10.993720874869899	-1.2209757907033105	1.357276495622763e-8	4.804758794504581e-7
XIII	353043	353443	401	*	9.433228455418389	8.870876348592807	10.054288350941524	-1.058724654442934	1.723411585016557e-8	5.866227895152512e-7
IV	67	467	401	*	8.36740958650252	7.688194284129182	9.068581775263693	-1.1898340440445336	2.2920749612214602e-8	7.458538349030514e-7
I	-14	386	401	*	10.713240316568136	10.059590766420577	11.397804389356022	-1.1640599814943229	2.3597635454559818e-8	7.458538349030514e-7
XI	-8	392	401	*	10.389256857775683	9.770706168489296	11.050208421649938	-1.1220376205479765	2.7572139224915757e-8	8.41425628070705e-7
XII	1064715	1065115	401	*	10.497952339894786	9.91625154957989	11.133047944253253	-1.0773554987126253	2.924550501430535e-8	8.627423979220078e-7
II	5716	6116	401	*	10.84786810288936	10.156884644816735	11.556524090811292	-1.2028644873510723	3.0524987794668176e-8	8.714391676864946e-7
III	287	687	401	*	10.353807218344636	9.68762599222083	11.046572834499672	-1.171966296111432	4.2876438202460145e-8	1.1858014940367884e-6
IX	439492	439892	401	*	10.6738436380438	10.009353972835713	11.365509051144468	-1.1685796995683915	4.936560877227407e-8	1.2946895325453395e-6
IX	54094	54494	401	*	9.029510136702394	8.205742536292496	9.816155830285238	-1.3281533434138235	4.9739484866148636e-8	1.2946895325453395e-6
VII	1084045	1084445	401	*	10.434894280159066	9.849877366637566	11.072363065803884	-1.072128696837079	8.737535632528774e-8	2.209348295653704e-6
VII	271772	272172	401	*	10.61983320563687	10.082847178466997	11.221990341898435	-1.0126106075355552	9.313551300991082e-8	2.2895813614936407e-6
II	341547	341947	401	*	8.902946529396441	8.463167314564254	9.426930901812632	-0.8799327506024526	1.0167184720112284e-7	2.4318806695403706e-6
XII	1071442	1071842	401	*	9.871917083770159	9.090626345095906	10.63483847078844	-1.2743136202740333	1.193258529253896e-7	2.7790363115518366e-6
XV	25	425	401	*	10.62160112280184	9.959392324850583	11.311779667509027	-1.1551188313652867	1.2868803100366744e-7	2.9202283958524537e-6
VII	993864	994264	401	*	8.700584505899311	8.145556951883886	9.316245534372896	-1.0314621665686525	1.6316328908142478e-7	3.6099877709265232e-6
XVI	257000	257400	401	*	8.905503106804572	8.479087675798466	9.417968817520903	-0.8573142769098936	1.8122317230435815e-7	3.91176847535017e-6
XIII	408227	408627	401	*	10.496004372779426	9.940944406593678	11.111689397094969	-1.028287824570774	2.0960476674849708e-7	4.416671870771903e-6
III	315995	316395	401	*	10.163326290722464	9.490809955179952	10.860193460900778	-1.1582068009574562	2.3225539149362502e-7	4.780140034229259e-6
VIII	4897	5297	401	*	9.40159626580102	8.771313886865288	10.070547489759598	-1.1107258375056044	2.6274495847385635e-7	5.194493797166085e-6
VIII	556339	556739	401	*	10.278213220474386	9.65146121853817	10.944768627730546	-1.1078949463211247	2.641268032457331e-7	5.194493797166085e-6
II	375899	376299	401	*	8.928807861187048	8.386481770318872	9.534992807922189	-1.0072022418373119	2.928048557320873e-7	5.633310811367332e-6
IV	894081	894481	401	*	9.872959375424298	9.368274342153372	10.450183970467126	-0.961446115458397	3.069275449530258e-7	5.779380367732506e-6
XII	658214	658614	401	*	8.142009975508062	7.678181752828391	8.686231986158724	-0.9084529243504496	3.205354775974711e-7	5.909872868203373e-6
VII	609805	610205	401	*	9.61935911522349	9.137701138597233	10.178191419243111	-0.9300763443666515	3.925017735247533e-7	7.089062644273605e-6
XIV	6610	7010	401	*	10.354247090992954	9.76469823119771	10.994944078671738	-1.0616213231667082	4.131626105504599e-7	7.31297820674314e-6
I	229765	230165	401	*	10.538674050142015	9.887405923787192	11.22166617532493	-1.1278641288045925	4.3696587311776854e-7	7.510279346487264e-6
XI	99553	99953	401	*	10.344563173367987	9.793829873805317	10.95703670081174	-1.016181090140274	4.487671942654225e-7	7.510279346487264e-6
XV	978638	979038	401	*	10.803365840205197	10.251186397176125	11.416914644954481	-1.017700695062264	4.518461629622823e-7	7.510279346487264e-6
XV	988694	989094	401	*	10.145484012340795	9.483958913619366	10.835216105028863	-1.1380125071503924	4.5825433300600256e-7	7.510279346487264e-6
IV	1525031	1525431	401	*	10.254118515372152	9.666677587825538	10.893316137711905	-1.0577003483759388	4.748827360352345e-7	7.641294934385137e-6
II	466238	466638	401	*	9.639354188945585	9.157489450537891	10.198354004183308	-0.9286767367438284	4.937896036346014e-7	7.803639271725397e-6
XIV	480770	481170	401	*	8.458691921610185	7.814456535440089	9.137016568960185	-1.1173489843216706	5.348077731769392e-7	8.303594373010372e-6
V	42042	42442	401	*	9.969108084399979	9.318679497858652	10.651545011930919	-1.123153989819539	5.568694612610304e-7	8.497059883034688e-6
XV	109513	109913	401	*	10.849575658507646	10.266060305891916	11.485971012438648	-1.0513023406878044	5.739957785310159e-7	8.60993667796524e-6
IX	249000	249400	401	*	10.556306578305456	9.9584168214291	11.202899844695875	-1.0661836118628867	6.249846169995941e-7	9.218523100744013e-6
XII	11253	11653	401	*	9.915002388930349	9.383502694737004	10.512994021657294	-0.9884060802869392	6.661645872354987e-7	9.664846880383875e-6
VI	4826	5226	401	*	10.713079371731467	10.141039294770847	11.341207605711883	-1.0362015547091463	6.858282523982324e-7	9.789645215684446e-6
X	521641	522041	401	*	8.110802246198924	7.642406638325142	8.658798306232079	-0.9092865758397648	7.17032166626611e-7	1.0072594721659536e-5
III	50487	50887	401	*	9.88821935347197	9.3898741563311	10.460432674218104	-0.9469606661662219	7.796690156767069e-7	1.0781360607404462e-5
XII	954372	954772	401	*	10.217777255749118	9.70060396776849	10.804758833454107	-0.9663874766763325	1.1440820360140566e-6	1.5577116951883694e-5
VII	413166	413566	401	*	10.20930194955453	9.591152557608915	10.869977933010654	-1.0776768532483687	1.326790560052107e-6	1.7732087694886985e-5
XI	666293	666693	401	*	10.345269119498582	9.770790788126344	10.975163425121885	-1.0309378390613277	1.3424292379179977e-6	1.7732087694886985e-5
XVI	114530	114930	401	*	10.602542398489968	10.100995877096231	11.177291109160487	-0.9454315379211046	1.3781727153804724e-6	1.793651254576056e-5
IV	955121	955521	401	*	10.093218790468905	9.584706137854768	10.67344988857327	-0.95345686365559	1.4006149559162172e-6	1.7964409217186263e-5
XI	20821	21221	401	*	9.949810647846478	9.318355664222796	10.61955546174646	-1.0900843718153927	1.483116179409557e-6	1.875082598253511e-5
VII	771878	772278	401	*	9.14101220089322	8.428427586573463	9.86314894995234	-1.1661135244345953	1.7241840196398177e-6	2.1491589540580824e-5
VIII	236047	236447	401	*	9.48616853048893	9.0382960579994709	10.017033035468039	-0.8727006576196307	1.8717336617739946e-6	2.300672625930535e-5
VII	905363	905763	401	*	10.1625186026747	9.695704802696076	10.709210077164665	-0.8976176678112405	1.983425236634673e-6	2.4045634718105282e-5
XV	908671	909071	401	*	10.077497081241873	9.566831782683401	10.659412788977935	-0.9511474545541505	2.2102364386495437e-6	2.6433233083849272e-5
XV	882071	882471	401	*	10.338689021208799	9.906339685250643	10.856293882763088	-0.8500213086227661	2.712456968681241e-6	3.2006992230438646e-5
VII	592673	593073	401	*	10.464026881568165	9.912030129076028	11.077439950781997	-0.9968581030022243	2.757186717300419e-6	3.210671374751146e-5
XIII	482534	482934	401	*	10.059029527276827	9.485900671941952	10.687947019100884	-1.0191841782433582	2.906721295535336e-6	3.3408420085049e-5
IV	974262	974662	401	*	7.756516854919239	7.055947214490394	8.471195831545737	-1.1450747563486814	3.007551813671008e-6	3.4124145578190284e-5
XI	630387	630787	401	*	9.067005841725607	8.637645340898823	9.582027106377037	-0.8433767313618481	3.2329132963849654e-6	3.621681351013537e-5
III	122622	123022	401	*	10.298447237974276	9.609761862152814	11.005649623687702	-1.1283518112032092	3.725678922945488e-6	4.121532308508446e-5
V	117783	118183	401	*	9.853326568104867	9.337237956547057	10.439466643837632	-0.9498634588063719	4.510018072335594e-6	4.9276123382925933e-5
XVI	502691	503091	401	*	10.263084819735553	9.702945508893807	10.882518696944171	-0.9986682195944301	4.576030690850161e-6	4.938764830978528e-5
XVI	214578	214978	401	*	10.395680495598072	9.887179277080016	10.975902633679324	-0.9402427261813757	4.804792784003558e-6	5.120647227666263e-5
XIII	540328	540728	401	*	10.376908978696864	9.872366411676335	10.95402139467336	-0.9354808323140114	4.86027533473408e-6	5.120647227666263e-5
V	335408	335808	401	*	10.23500154675567	9.710891699819777	10.82733812109885	-0.9579303517524388	4.962561114093551e-6	5.166901865850345e-5
VII	547312	547712	401	*	10.215951688095627	9.689678204555134	10.809949277451768	-0.9589720877742074	5.513082929723153e-6	5.63131753020658e-5
V	441996	442396	401	*	10.487933222303102	10.015975000631277	11.038857990584162	-0.8950794019709583	5.53587147037257e-6	5.63131753020658e-5
II	338564	338964	401	*	8.614849099501008	7.873131080867205	9.354658652005519	-1.1624363274612792	6.255860688588839e-6	6.291405351592184e-5
XII	660113	660513	401	*	9.064188598444387	8.69222070406098	9.527588294500605	-0.7604605959259167	6.5892566149124e-6	6.552238319323005e-5
VI	224894	225294	401	*	10.550366067232593	10.061401708946766	11.115091497671495	-0.9130072042234845	7.036311855403544e-6	6.919039991146818e-5
VII	785651	786051	401	*	9.757668098394543	9.100249067006617	10.444711575846545	-1.0872355437834824	7.146016957887855e-6	6.949697810693133e-5
X	662951	663351	401	*	9.831651621967879	9.439225063382843	10.31390252431097	-0.7871924468079944	7.360121358113261e-6	7.080116741228517e-5
IV	1459640	1460040	401	*	9.47709732648738	8.81485402965175	10.16729838951853	-1.0894536322640098	7.563991027135417e-6	7.197991461306284e-5
VII	809718	810118	401	*	10.043682279686436	9.55310876106542	10.609698392484525	-0.9130855561478071	7.980518602019794e-6	7.513573364667571e-5
XVI	645308	645708	401	*	10.467449314796678	9.917551850833776	11.07930050047374	-0.978812466089896	8.603344176945432e-6	8.01469431220706e-5
IV	1161764	1162164	401	*	10.173899801442106	9.622406110107859	10.786938951063338	-0.9792314614091411	9.253571495109758e-6	8.530636222054308e-5
V	570069	570469	401	*	10.520205469886264	9.937439041339717	11.156064718343092	-1.011118789503905	9.55310224389584e-6	8.715974727678163e-5
IV	538965	539365	401	*	10.35892682475554	9.810664844076957	10.9695584497755	-0.9750337260854384	9.865756944277069e-6	8.909382546617557e-5
IX	77645	78045	401	*	6.052835823919107	6.37663213008445	5.268536243602365	0.9391648693424138	1.1028574215557985e-5	9.858876950271532e-5
IX	177453	177853	401	*	9.966563742509146	9.545514818892192	10.474347559081565	-0.8224517608557229	1.1390156757499438e-5	1.0080288730387003e-4
XVI	834221	834621	401	*	7.68438211476973	7.116436741013318	8.309532867364691	-0.9914300918770891	1.1792529776545124e-5	1.0333058269546965e-4
XIII	282922	283322	401	*	9.342334621160546	8.893855375048544	9.873712079311709	-0.8565443423070938	1.2259582425567863e-5	1.0636990633948587e-4
VII	766138	766538	401	*	9.259128763178653	8.805217186767177	9.79508092033904	-0.8630013755955573	1.265315713806628e-5	1.0871887443872482e-4
IV	1468804	1469204	401	*	9.602933142042712	9.13436701847849	10.151069678003715	-0.8806418466773083	1.3754424793660053e-5	1.1704486483066489e-4
II	628451	628851	401	*	9.399969867367835	9.014739726262917	9.875648226395844	-0.7713335381550261	1.3989331658622479e-5	1.1791008112267519e-4
VII	987250	987650	401	*	10.209824870097393	9.741825286984156	10.757494556214429	-0.8790117893440508	1.4524950342119718e-5	1.2126963257335803e-4
XI	68729	69129	401	*	10.471003054212416	9.94784103410078	11.062610597079988	-0.941395080137058	1.5541543109784904e-5	1.2763558378744148e-4
XII	424027	424427	401	*	10.334435536159287	9.891482694905054	10.861126344755954	-0.8476997485935276	1.5631221822408173e-5	1.2763558378744148e-4
IV	599894	600294	401	*	10.554068670722527	10.031888035779678	11.144920476686927	-0.9401262592962814	1.5720088850656635e-5	1.2763558378744148e-4
XIII	653234	653634	401	*	10.29134690133373	9.825815927852965	10.836978454067696	-0.8744172762450078	1.664703605506691e-5	1.3393297189758375e-4
XIII	472795	473195	401	*	9.081976094149972	8.751524598552995	9.505486933743379	-0.6904960059663678	1.7828943784838976e-5	1.4214968693317562e-4
V	194682	195082	401	*	8.721787385306103	8.287076887970892	9.241426233935973	-0.834305749702097	1.8444027349854767e-5	1.457407518269774e-4
XI	171296	171696	401	*	8.113653268943747	7.765204777122532	8.554732439890744	-0.7135682743189267	1.863774477044049e-5	1.4596817806937908e-4
XIII	434231	434631	401	*	8.726063784647648	8.196110019043326	9.322876624426138	-0.9420281615690074	1.963132904554285e-5	1.5240110706408265e-4
XV	968109	968509	401	*	9.686259101480003	9.263756321261015	10.195314527036755	-0.8184380382981031	2.139374849073442e-5	1.6463884708086923e-4
IV	465049	465449	401	*	9.25685267590886	8.836876273866926	9.763696874908039	-0.8119486675705011	2.443091833857817e-5	1.8639105801415243e-4
XI	258602	259002	401	*	9.286918975686136	8.914249049255549	9.750974108308267	-0.7489799027581805	2.611221294803302e-5	1.9751545691460874e-4
VII	397902	398302	401	*	9.629950923007742	9.16066849673138	10.17867723995071	-0.8717964679340446	2.7678673949932728e-5	2.0759005462449547e-4
IV	976433	976833	401	*	9.968037848460233	9.506806346080648	10.5101044195238	-0.8624805941813536	2.859849565242205e-5	2.1268629119658414e-4
XVI	431751	432151	401	*	10.422422083802338	9.943513577979516	10.97902272368073	-0.8819132543624808	3.138553319310875e-5	2.3146830729917702e-4
VII	733129	733529	401	*	9.916366964302833	9.434612538746078	10.47527741330566	-0.8845927847103141	3.1856524071980766e-5	2.3300019672481802e-4
X	97359	97759	401	*	7.742004912226159	7.361768101714332	8.213085753793003	-0.755199329808431	3.5277220500799336e-5	2.5590442740333944e-4
XVI	586867	587267	401	*	8.761637078751729	8.156234868914725	9.413491504130292	-1.0031540432439368	3.8758087237688926e-5	2.788691642711764e-4
II	165036	165436	401	*	10.020890569278233	9.555707941000442	10.566234008166102	-0.8626064207662415	3.9782624347639154e-5	2.839324399004891e-4
XV	170206	170606	401	*	9.170750789723906	8.63439394138	9.772431634324203	-0.937007282292412	4.1606500833740814e-5	2.9457402590288496e-4
IV	591842	592242	401	*	10.274551519663222	9.770496825917176	10.851279630263711	-0.9041640839244747	4.431225026694268e-5	3.112408054463831e-4
IV	806146	806546	401	*	8.382298360303835	7.959237017442628	8.891841691866635	-0.8107980248562566	4.768613229274713e-5	3.3205037495427777e-4
XI	231236	231636	401	*	9.998887734698503	9.5306441533052	10.546758525230242	-0.8631913712696465	4.802536496513848e-5	3.3205037495427777e-4
XIII	70075	70475	401	*	9.659092807955806	9.302488733834469	10.107992355017192	-0.7214193926341107	4.954753045443321e-5	3.399191042804139e-4
XVI	339418	339818	401	*	9.370325385288561	9.010071620401712	9.822696712290918	-0.7268162278113556	5.01442462484816e-5	3.4136659946081704e-4
IV	125171	125571	401	*	6.428835357800159	6.706780324604416	5.79819363483415	0.7903593641253657	5.16753302695745e-5	3.4910433044712543e-4
XV	836628	837028	401	*	8.942138719161258	8.446864844888848	9.511910106282718	-0.8908879331149193	5.230154249124289e-5	3.5065806897537847e-4
XIII	436189	436589	401	*	7.271635956854824	6.881639941141309	7.7516740356300735	-0.7631395537905328	5.857246165938969e-5	3.884630137044473e-4
XV	79848	80248	401	*	9.216045927932417	8.815582392455976	9.705563476124441	-0.7779105567955555	5.881812862869598e-5	3.884630137044473e-4
XVI	75020	75420	401	*	9.616077459983515	9.216703676040577	10.104614216239435	-0.7772059065829441	6.288115534855297e-5	4.1222090728495835e-4
VII	1000198	1000598	401	*	8.986295771349855	8.609574756887444	9.454121099621986	-0.7437743027407393	7.133803757279321e-5	4.642217886170735e-4
IV	411179	411579	401	*	9.614663829449643	9.202849216141948	10.114314455724095	-0.7911631649950897	7.292026070497936e-5	4.710542388606331e-4
XVI	942426	942826	401	*	7.724455368660618	7.306758812886851	8.229297872413309	-0.7940496538606576	7.365083068836792e-5	4.7232597941453336e-4
X	639376	639776	401	*	9.927707004146544	9.493785386418566	10.446666973391642	-0.8167209438347967	7.754691000388406e-5	4.937339234060245e-4
XI	92325	92725	401	*	9.298184260420445	8.834002452586473	9.842699220126411	-0.8513352770504314	8.010001374980275e-5	5.063465154898245e-4
II	381281	381681	401	*	9.375306701231152	8.876398712861874	9.947966473119571	-0.8873119108766584	8.201146356927562e-5	5.147528032539639e-4
V	140513	140913	401	*	9.463106665686798	9.026949749919375	9.983988454228115	-0.8177245537262908	8.312511986419892e-5	5.168852342690606e-4
XIV	440847	441247	401	*	9.826445438205367	9.343729334272012	10.386134542634364	-0.86992374767007985	8.351930904008548e-5	5.168852342690606e-4
V	517495	517895	401	*	6.545907791009505	6.842805005203346	5.854309629037829	0.8459903630618798	8.476618675883609e-5	5.189824040300543e-4
XVI	627446	627846	401	*	8.891451868256771	8.555872794789423	9.320012388488697	-0.6864844472723579	8.503101534955692e-5	5.189824040300543e-4
IX	268007	268407	401	*	9.078526563493327	8.671615756246151	9.573818078945202	-0.7806547869273313	9.375521547737321e-5	5.683107239553102e-4
IV	1507210	1507610	401	*	9.573632603133074	9.178286956930126	10.058531723750754	-0.7671436069704538	9.476586240324229e-5	5.705291716113566e-4
XIV	349888	350288	401	*	9.6420611687752409	9.27410710984855	10.101701559470772	-0.7309543888687551	9.575395687486425e-5	5.725827826638842e-4
X	360681	361081	401	*	9.26721415160889	8.923411035044234	9.703799938131747	-0.6961050121789405	1.0178461070144533e-4	6.045596004750276e-4
II	378672	379072	401	*	7.314343747190055	6.992190535952281	7.729606327697913	-0.6685312551687033	1.0612614195695135e-4	6.26144237546013e-4
VII	190768	191168	401	*	8.067990291558715	7.617828087323657	8.600788404848347	-0.827889846669482	1.1242541077907743e-4	6.589171426455863e-4
XIII	922022	922422	401	*	6.28121702992727	5.8502907213721205	6.797593048323589	-0.8199610578320101	1.1552155601098733e-4	6.726090596692355e-4
XVI	455067	455467	401	*	9.660776652407261	9.235389836100389	10.172347493831579	-0.7997876931931778	1.220746229587456e-4	7.061179171143128e-4
XV	479941	480341	401	*	9.353399287289546	8.93512499386039	9.85874960438073	-0.7913014033325385	1.3020596681483491e-4	7.482615625397981e-4
XI	260533	260933	401	*	9.239455554753311	8.876128855668046	9.694736774527328	-0.7234078174226571	1.3136055396494422e-4	7.500263887675847e-4
IV	1090037	1090437	401	*	6.610532129313233	6.8807814347068215	6.003705880572337	0.7585173781984902	1.3286265776207135e-4	7.53740077688674e-4
XIV	576119	576519	401	*	8.77149292203635	8.403849460389047	9.230841565794808	-0.7250568650224294	1.338430298610217e-4	7.544654867962051e-4
XIII	306437	306837	401	*	10.13005910747464	9.664824225740873	10.67544577292896	-0.8426672913539087	1.3794667687323748e-4	7.726760065368049e-4
VII	951272	951672	401	*	8.184060692325994	7.839620808577835	8.62126409714274	-0.6947253455083663	1.424048285682532e-4	7.926306495780131e-4
XII	728223	728623	401	*	9.868337480978454	9.532380950528644	10.297268319126092	-0.6838976047778722	1.442463333619341e-4	7.928257163650269e-4
XVI	678864	679264	401	*	10.059436381555049	9.631312452647796	10.57338581019501	-0.800720508062224	1.4426628168023075e-4	7.928257163650269e-4
III	133348	133748	401	*	9.206435349143353	8.790328743160737	9.7098783616341	-0.7861723092562434	1.451274192668185e-4	7.928257163650269e-4
XIV	503094	503494	401	*	8.943152593652087	8.597801525931137	9.381238848054394	-0.6951775708937699	1.4736708041317278e-4	8.001218783169197e-4
V	222207	222607	401	*	9.408006233952042	9.041756510849169	9.866044224837173	-0.723686223946663	1.4879178241747413e-4	8.029312648747842e-4
XI	322412	322812	401	*	9.829890840245302	9.403264513789617	10.342539877457181	-0.7976430044275408	1.546193943836029e-4	8.293222062393245e-4
VI	255393	255793	401	*	9.439758377100222	9.031624312505798	9.93613989743458	-0.7729967783880806	1.8016685500518346e-4	9.560424132293786e-4
VI	182961	183361	401	*	9.870740278338108	9.479556530771125	10.351860586027087	-0.753417034446169	1.8040574351334035e-4	9.560424132293786e-4
XV	825549	825949	401	*	8.806198550735127	8.457136463465776	9.24786911716217	-0.6973393040270088	1.817006956208442e-4	9.571733072883758e-4
X	545291	545691	401	*	8.156600579176098	7.787925384577348	8.616917869928132	-0.7225006643357085	1.83171617118052e-4	9.592123144939411e-4
XVI	829110	829510	401	*	9.919256545603591	9.48066203038505	10.442227785961467	-0.8079407359906782	1.9276872051315262e-4	0.0010035312803184711
X	136236	136636	401	*	9.322313932544155	8.9668979492363885	9.770079599518297	-0.7071737053213976	1.960333669918318e-4	0.0010145586537296557
XII	633285	633685	401	*	7.335019585897545	6.935856288029475	7.823366739403278	-0.753543056794584	2.21895780067139e-4	0.0011417311939501047
IV	1156322	1156722	401	*	9.061458845545635	8.65721863844091	9.55436459014533	-0.7658004712593158	2.310748540576705e-4	0.0011777810347332602
XV	216326	216726	401	*	10.04147148186244	9.607836117584451	10.560184941569272	-0.7989181307191568	2.3156372886281047e-4	0.0011777810347332602
X	606721	607121	401	*	10.019185480364255	9.544889498268724	10.572024902424229	-0.8395441600756104	2.605874214706792e-4	0.0013178278171517206
XII	187257	187657	401	*	8.4168800287544	8.10512602066546	8.821671182272746	-0.6403910272914345	2.7861490227159397e-4	0.0014009897074452311
X	391842	392242	401	*	9.668770784348286	9.268068705540427	10.158502837252746	-0.7576542517396953	2.866793043994205e-4	0.00143112785868738
XIV	547406	547806	401	*	8.294771257640456	7.918194328919348	8.762462840840024	-0.7297448144389942	2.8784266536311146e-4	0.00143112785868738
XIII	431581	431981	401	*	9.79442765561765	9.340084173454871	10.330742172162331	-0.8160395865379894	2.991331627586454e-4	0.0014760542439961146
VII	856708	857108	401	*	10.201155478285765	9.820637999843939	10.672495551565339	-0.7330593566736845	3.002144225076843e-4	0.0014760542439961146
VI	269830	270230	401	*	8.85070993836537	8.402393789436477	9.381949556839748	-0.8087960760352358	3.075003147275216e-4	0.0015035236383086
XII	108243	108643	401	*	8.819783957202148	8.502153247349503	9.23051123248495	-0.6475134372322005	3.2287988277911547e-4	0.0015700477816456987
VII	625242	625642	401	*	10.278564822819991	9.897500305894628	10.75040987543909	-0.7328383951022075	3.257145304766768e-4	0.0015751768277150763
VIII	379558	379958	401	*	8.93822358134539	8.428941759159294	9.519057127872022	-0.8655434496348997	3.3793607013043336e-4	0.0016253990329643127
XIV	355337	355737	401	*	9.793180558679781	9.389730254587931	10.285379041768051	-0.7576779741540979	3.513862368212702e-4	0.0016809557815504008
XIV	275894	276294	401	*	8.083576691518157	7.675637173591797	8.579784974482752	-0.7648791938872603	3.641119784411436e-4	0.0017324682845183445
XVI	425229	425629	401	*	9.534809353109699	9.210166810684301	9.952556202251722	-0.6564876237842934	3.8312841118125755e-4	0.001813201304253545
XI	355615	356015	401	*	10.034986341438685	9.61677783176354	10.540278855940743	-0.7724993311165023	3.9068768086031064e-4	0.001839141476390292
IX	332648	333048	401	*	9.1840802139952	8.839122488490522	9.621785492305111	-0.6828087548715376	4.0567617222915053e-4	0.0018995947747238002
V	461842	462242	401	*	8.943465422607465	8.628932337735447	9.35106981092139	-0.6459632774754269	4.130263369580869e-4	0.0019219121922886687
VII	384054	384454	401	*	10.094010912246562	9.63228564998509	10.636487881698548	-0.8167138713985034	4.147855691832042e-4	0.0019219121922886687
XV	514595	514995	401	*	9.171943239093284	8.874602437537161	9.561967137421703	-0.6155782284477693	4.2787038657785627e-4	0.00196839990165944
IV	721708	722108	401	*	9.681507090589426	9.34997517203922	10.10608490472634	-0.6652900854439348	4.292668712093468e-4	0.00196839990165944
XVI	246346	246746	401	*	6.228348430985793	6.5075861880752095	5.593654487673599	0.7665970248631838	4.467984298538558e-4	0.002038229950621971
XIV	495068	495468	401	*	9.080544519782752	8.750372580118794	9.503779024401878	-0.661502961856132	4.557533158843896e-4	0.0020684188951676143
XIII	517397	517797	401	*	6.522016124882667	6.790480535535099	5.920639897646384	0.7305425920550307	4.8024024647644396e-4	0.002161246979725219
V	211972	212372	401	*	7.422390709172407	7.149016883843485	7.787182749992154	-0.5802536097105035	4.8109113559985096e-4	0.002161246979725219
XIV	663792	664192	401	*	8.859063399264848	8.554603047865676	9.256419065778257	-0.6244981325591116	4.936429770305159e-4	0.002206434518545488
X	646858	647258	401	*	8.828511778549661	8.525261190949033	9.224626791620288	-0.6230837521393702	4.974982517719791e-4	0.002212492225217093
IV	1011596	1011996	401	*	9.686349905818709	9.27771927766795	10.183173399424891	-0.7570015581362146	5.06087322286055e-4	0.002239436401115793
