seqnames	start	end	width	strand	Conc	Conc_WHI	Conc_WT	Fold	p.value	FDR
II	466245	466645	401	*	9.17884030054927	8.891788313315395	9.418146591031329	-0.05900271402041355	0.03581382818202275	0.8871428713181057
XV	424202	424602	401	*	8.716467889674957	8.327640288219634	9.022438399229708	-0.04608553704798637	0.03769463655843255	0.8871428713181057
IV	1013720	1014120	401	*	8.92581742418646	8.667998044426753	9.144473251484058	-0.06106871205551351	0.039579578309915237	0.8871428713181057
VII	328392	328792	401	*	6.350336533053883	5.963960637875321	6.6547903041138445	-0.045553027588810024	0.039870575272397464	0.8871428713181057
IV	302837	303237	401	*	7.627369550012721	7.195912322537016	7.959060522727529	-0.04073861359165918	0.041179664381850674	0.8871428713181057
VII	197119	197519	401	*	9.301854735678695	8.946793847326083	9.586562346065396	-0.04761308757660058	0.041344615484179156	0.8871428713181057
IV	132846	133246	401	*	8.503000873272283	8.19371009513736	8.757548481006486	-0.052546467838097376	0.042011678928228484	0.8871428713181057
XII	723333	723733	401	*	8.415584650512494	8.136707409567785	8.64918780430689	-0.05638715309503817	0.042487509188374094	0.8871428713181057
XII	677700	678100	401	*	8.374574668082824	7.925803253131525	8.716370873082191	-0.03892999606519559	0.04295478877027231	0.8871428713181057
XVI	207479	207879	401	*	7.567891850476594	7.991204615942676	6.966235041208699	0.02979823289201449	0.045921373431703695	0.8871428713181057
XIII	29842	30242	401	*	6.7044100964798226	6.39162217531202	6.961318723013184	-0.05072419953345618	0.04696634975511922	0.8871428713181057
XIII	347069	347469	401	*	8.770372674664408	8.45538713486442	9.0287600801115655	-0.04937471383389854	0.04702316394142191	0.8871428713181057
XIV	273803	274203	401	*	8.887815786020562	8.587938777755262	9.135959966948688	-0.0513206543124458	0.04743692672779816	0.8871428713181057
XII	809098	809498	401	*	8.815797028063047	8.586606395308744	9.01351982428838	-0.06194650344045026	0.048478005606200074	0.8871428713181057
XII	439854	440254	401	*	7.486472353392344	7.147604112903373	7.760690682860852	-0.0460217800601839	0.0502425907013234	0.8871428713181057
XII	388586	388986	401	*	9.204777885714742	9.526874309076558	8.789459795326763	0.038393948026834726	0.05214769294850652	0.8871428713181057
II	375870	376270	401	*	8.809392867951312	8.458412056753867	9.091475727219768	-0.043178008695532476	0.05374250942665862	0.8871428713181057
XII	803535	803935	401	*	7.307994447214936	7.730307925415443	6.708368969239865	0.027459712835077484	0.05468359573184186	0.8871428713181057
III	238416	238816	401	*	7.780782876195686	8.388613279469293	6.709920403122952	0.01672022199002555	0.058038600195979964	0.8871428713181057
IV	835845	836245	401	*	9.179507240967885	8.879227211872104	9.427927006237674	-0.04679333028589857	0.05935668462757074	0.8871428713181057
XIV	405683	406083	401	*	7.934867870408976	7.671586381530533	8.157436753729893	-0.05048438225475788	0.06332819401905956	0.8871428713181057
VII	581587	581987	401	*	8.325556296886198	8.062782725727315	8.547762378864046	-0.04880440523446283	0.06722875419370272	0.8871428713181057
IV	1174181	1174581	401	*	6.203414855286796	6.5247627691395715	5.789343806210373	0.0338057969070419	0.06880093239069172	0.8871428713181057
II	408627	409027	401	*	8.319138245238864	8.081289342363286	8.523267973825464	-0.05182206781858923	0.069057315744822	0.8871428713181057
X	195401	195801	401	*	9.796771986945524	9.534141850467893	10.018875575083086	-0.048283878428056926	0.0694517148010934	0.8871428713181057
VIII	148729	149129	401	*	7.81527397126533	7.537996715707401	8.047754450561815	-0.046166437236164586	0.0701028540805382	0.8871428713181057
XIV	335778	336178	401	*	8.776437253202593	8.48603104364062	9.018067818986351	-0.04426859873750536	0.07126170804781416	0.8871428713181057
V	84995	85395	401	*	9.75289376610375	9.540547808812406	9.937957816452498	-0.05537099577155526	0.071475967420335	0.8871428713181057
XIII	353036	353436	401	*	9.203975870089357	8.915086086723528	9.444556776242289	-0.044168870373792135	0.07198047028923509	0.8871428713181057
XVI	129569	129969	401	*	9.230954105674536	8.689598187610331	9.623683876171873	-0.02651374862101331	0.07233396850436773	0.8871428713181057
IV	1345291	1345691	401	*	8.269995749137168	8.025886980446964	8.478716222789759	-0.04966725783910666	0.0741154807436898	0.8871428713181057
XV	241128	241528	401	*	7.285243790580691	6.899574762557691	7.589259485414581	-0.03471155904429123	0.07427621272482043	0.8871428713181057
XV	779523	779923	401	*	9.410335216261112	9.14505899210228	9.634326806273949	-0.046284704680289085	0.07445988979318034	0.8871428713181057
VIII	151014	151414	401	*	8.038301014701657	7.765012207275231	8.267973639525867	-0.04502006511302264	0.07603471390905629	0.8871428713181057
V	264263	264663	401	*	8.807287929881195	8.383312992195119	9.134552031779856	-0.031368022344970645	0.07774247255291128	0.8871428713181057
VII	20266	20666	401	*	8.180929932555099	8.704789638370345	7.350093738646796	0.017862674935401432	0.078004388467651245	0.8871428713181057
XV	83082	83482	401	*	8.636138462529233	8.409315381369783	8.832097628538326	-0.05063606205763358	0.07865168147198925	0.8871428713181057
XI	327686	328086	401	*	7.554423232868418	7.257343063901466	7.800651367082433	-0.04056542785530327	0.08241929334743389	0.8871428713181057
XV	968092	968492	401	*	9.261641646407925	9.013013425848628	9.473655143101464	-0.046488018974898376	0.08249113834213777	0.8871428713181057
IV	588427	588827	401	*	7.044751925483748	6.593236020663512	7.388132387236544	-0.028760404348076137	0.08333917905591251	0.8871428713181057
II	167976	168376	401	*	8.76535672522811	8.513017074221954	8.980061203655216	-0.04490453139070688	0.08515811520676286	0.8871428713181057
IX	129827	130227	401	*	8.049662930013868	7.795796411934117	8.265471006740707	-0.0451070793607932	0.08599344736671961	0.8871428713181057
X	360687	361087	401	*	9.189048936593682	8.912118453376277	9.42128581383848	-0.04175444108506232	0.08650135061102317	0.8871428713181057
VII	739020	739420	401	*	7.603237155592475	7.352508714840753	7.816774888720622	-0.045388592539283186	0.08654320281015296	0.8871428713181057
XI	92282	92682	401	*	8.750979028566325	8.423856915877947	9.017465753271457	-0.03628584796272379	0.08823386847983022	0.8871428713181057
XIII	754243	754643	401	*	8.380618513946638	8.132168582868353	8.592502440453561	-0.04472135058692312	0.08859063496466611	0.8871428713181057
XII	541186	541586	401	*	7.803263782719668	8.398883901136632	6.770810241021688	0.013916885809066576	0.08873948425092479	0.8871428713181057
IV	992734	993134	401	*	7.561298219417176	7.304426146352352	7.779272803166853	-0.04390439186169822	0.08969970939572243	0.8871428713181057
XI	581026	581426	401	*	8.190011287041479	7.886079096719201	8.440922490992	-0.038364736797659456	0.08976804079569992	0.8871428713181057
XII	747434	747834	401	*	7.394829135135447	7.049003360279151	7.673578203114201	-0.03425038688902757	0.09032317067446682	0.8871428713181057
XII	241785	242185	401	*	7.455040841803632	7.102409014518541	7.738187284537277	-0.03385788528361515	0.09034951856745817	0.8871428713181057
XIII	457977	458377	401	*	7.264249724176695	6.903099385421842	7.552852142076535	-0.03300783639260637	0.09047160570550665	0.8871428713181057
XVI	526877	527277	401	*	8.235489515927624	7.921159193608786	8.49343641931359	-0.03693012380281282	0.09093726841709907	0.8871428713181057
XII	796344	796744	401	*	7.37308636006884	7.0810087343719985	7.615871708341207	-0.037914292023720673	0.09641528342659343	0.8871428713181057
XIV	281576	281976	401	*	8.273933154573347	7.972918125400465	8.522855176919933	-0.03653853808967867	0.09892046237683531	0.8871428713181057
XII	660102	660502	401	*	8.72653203108045	8.411379033906421	8.985031964289096	-0.03522328535703675	0.09940557820880304	0.8871428713181057
XV	231982	232382	401	*	9.030241936151448	8.778266363104775	9.244682966795203	-0.04164102098763904	0.09965519935747331	0.8871428713181057
XIII	756461	756861	401	*	8.41315565801209	8.073828290354632	8.687674084216379	-0.03239654576099975	0.10278307794680665	0.8871428713181057
VI	106485	106885	401	*	9.203261360944639	8.965108259622733	9.40761497643055	-0.042139276534829025	0.10612781605124826	0.8871428713181057
XV	384926	385326	401	*	8.636711932853315	8.36076554679278	8.868256954293312	-0.03755140953254625	0.10620445351088102	0.8871428713181057
IV	307838	308238	401	*	8.42455509069136	8.188449730969676	8.627400006934183	-0.041169468410153336	0.11204464994346336	0.8871428713181057
VII	156138	156538	401	*	8.214889453849473	7.881563267214807	8.485472864478528	-0.03101568910607133	0.11334169430719368	0.8871428713181057
V	69026	69426	401	*	8.245541376103269	8.007919979770492	8.449503608659242	-0.04079932927296671	0.11374397722748547	0.8871428713181057
XVI	281659	282059	401	*	8.506879368735762	8.263470748398767	8.71508809304088	-0.03941045634614486	0.11472507464240497	0.8871428713181057
I	20767	21167	401	*	6.866623241076426	6.618721915290353	7.078108300402463	-0.03910536667420597	0.11568389762764547	0.8871428713181057
III	163491	163891	401	*	8.03695808687873	7.834893074667985	8.214167415952993	-0.04509685627059618	0.11623669368914386	0.8871428713181057
VII	625246	625646	401	*	10.027439543584201	9.813154131817106	10.213974327439006	-0.04264207371984168	0.11950415913912446	0.8871428713181057
XI	322429	322829	401	*	9.519111289513509	9.296214476873743	9.71213454524136	-0.041007801225890275	0.12108804440998532	0.8871428713181057
IV	1468769	1469169	401	*	9.173713696967928	8.91739613759519	9.39128915223047	-0.036829763554107824	0.1213654201723744	0.8871428713181057
XII	187261	187661	401	*	8.108621786744466	7.842123859973194	8.333483070678275	-0.035684978485245634	0.122050022677836	0.8871428713181057
IV	1278526	1278926	401	*	8.856812069087404	8.56438747704258	9.099836853274756	-0.033202634088015326	0.12227144194160683	0.8871428713181057
XVI	829111	829511	401	*	9.521645167369003	9.339589447274314	9.683279927052311	-0.04692691213253601	0.12280966695278273	0.8871428713181057
XV	55135	55535	401	*	6.988546494997633	6.600842919669954	7.293822148075598	-0.02625062509997171	0.12281160736163625	0.8871428713181057
XI	171311	171711	401	*	7.85407751494029	7.5947884354550474	8.073788737713233	-0.03612855290872269	0.12352950376945614	0.8871428713181057
XVI	520191	520591	401	*	8.621466931362345	8.399355063887343	8.813901558099206	-0.04078092376257112	0.12396715633310372	0.8871428713181057
XIII	551241	551641	401	*	8.966387662858853	8.739892583503533	9.162102095999751	-0.039090417105634566	0.12810767402032883	0.8871428713181057
IV	1016022	1016422	401	*	8.180760749172576	7.955391592133131	8.375634355157729	-0.03909967748530911	0.13020671009588503	0.8871428713181057
XI	260554	260954	401	*	8.434651080710138	8.200255267458145	8.636233614229534	-0.03781740408589059	0.1304070028784182	0.8871428713181057
IV	1011635	1012035	401	*	9.371459700693528	9.150640010587386	9.562924104057249	-0.039342660593675714	0.1312218437777133	0.8871428713181057
VII	115465	115865	401	*	6.56409430125241	6.271710981819966	6.807090608970984	-0.03202420311501937	0.13259080705140136	0.8871428713181057
XIII	653274	653674	401	*	10.011224074734535	9.803467670080877	10.19279386816392	-0.04090236387696356	0.13267243084117458	0.8871428713181057
IV	930419	930819	401	*	7.054983731118973	6.804940515589944	7.268024582294204	-0.03601192016852181	0.13419318496395324	0.8871428713181057
VII	700560	700960	401	*	8.445850560060032	8.201687072535194	8.654611010455007	-0.03591227706683588	0.13487440404213835	0.8871428713181057
V	268374	268774	401	*	7.9452551616966165	7.71369523567075	8.144737840096623	-0.03678483152529275	0.137271096657406	0.8871428713181057
XIV	301176	301576	401	*	8.821782453453986	8.600413263696801	9.01365963117187	-0.03829985921496515	0.13729120788030671	0.8871428713181057
VII	856704	857104	401	*	9.895805049707544	9.710626871049403	10.059895626147739	-0.04334860703889822	0.1377865167677123	0.8871428713181057
XV	671041	671441	401	*	10.000848014106566	9.70924891706174	10.24330297769781	-0.030446858313444302	0.1391780429286402	0.8871428713181057
XV	391481	391881	401	*	9.425066403824108	9.215513507678383	9.608006289140038	-0.039241484987298375	0.14006258665549265	0.8871428713181057
XIV	197931	198331	401	*	9.146753643266361	8.859839047236239	9.385964534635349	-0.030632707413879537	0.1408267981187282	0.8871428713181057
II	651299	651699	401	*	7.726035597447467	8.21484363942773	6.981149547517362	0.013701317083462228	0.1412263728816291	0.8871428713181057
XV	487226	487626	401	*	7.693280546656755	7.5037081164015405	7.860811178457584	-0.04178633332336842	0.14216322993373534	0.8871428713181057
VII	772923	773323	401	*	5.516444254600044	6.093516168218184	4.539860336266307	0.01082637292403575	0.1422935898680107	0.8871428713181057
XVI	76264	76664	401	*	7.579722820239311	7.338035744957968	7.786671410265962	-0.034732206493047015	0.14253210882102677	0.8871428713181057
XIII	146007	146407	401	*	8.344098156449116	8.076923708005753	8.569440494152357	-0.03210044934142599	0.14270727387231003	0.8871428713181057
XVI	560102	560502	401	*	6.452668212631766	6.1733157169576245	6.686604434352139	-0.031478029226379406	0.1429410283550178	0.8871428713181057
XI	20751	21151	401	*	9.65095716233457	9.393486282540582	9.869362459727185	-0.03290887825386929	0.14344338927624367	0.8871428713181057
XII	322993	323393	401	*	7.0272612912703964	7.309556448227354	6.675951175366072	0.025535173282131996	0.14398463981044576	0.8871428713181057
XII	633252	633652	401	*	7.382950859263623	7.019610987927239	7.672947130291709	-0.024739691921236925	0.14460166826411464	0.8871428713181057
XIV	444327	444727	401	*	7.2302214156322355	6.9666945948848715	7.4529654590359264	-0.03205185066291928	0.1458177760167258	0.8871428713181057
XI	308584	308984	401	*	8.036719971622867	7.806281149654755	8.235370535379412	-0.035465604794679056	0.1471927857150798	0.8871428713181057
IX	387162	387562	401	*	6.336781874825124	5.961404963282508	6.634379497429495	-0.023546986130967708	0.14771746494253896	0.8871428713181057
VII	976862	977262	401	*	8.653272451747753	8.44919890064635	8.832024094995582	-0.038482214284232666	0.14882684909934724	0.8871428713181057
X	639373	639773	401	*	9.7037554980872	9.543368871830838	9.848082224285722	-0.04565098087676097	0.14901395073680493	0.8871428713181057
VIII	296744	297144	401	*	9.352755162834585	9.150987258548714	9.529736026534005	-0.038696560199773876	0.1492025022451436	0.8871428713181057
XII	522233	522633	401	*	8.233000978203686	8.026192714105257	8.41384645978061	-0.03811748215706825	0.14930048928702838	0.8871428713181057
VII	144423	144823	401	*	6.485833929454312	6.206282546310847	6.719909480076788	-0.03041935046110918	0.14985533499898682	0.8871428713181057
IX	257138	257538	401	*	8.550485263492865	8.354992060714705	8.722621592380156	-0.039308438641126875	0.1500593328817901	0.8871428713181057
X	578882	579282	401	*	7.79322525702107	7.442154748578465	8.075365950624393	-0.024610938253136996	0.15048169877285106	0.8871428713181057
XV	464270	464670	401	*	7.212493970729019	6.945200483881006	7.437920913060323	-0.030799484946118092	0.15208815720978977	0.8871428713181057
II	341551	341951	401	*	8.604868780035662	8.404551222714806	8.780733182827491	-0.038213938486826075	0.15332012477357854	0.8871428713181057
XV	479870	480270	401	*	8.55186194356184	8.260094314248322	8.794433285957762	-0.02842797122976279	0.1539279094308203	0.8871428713181057
XVI	378469	378869	401	*	8.416109827045462	8.206141360207425	8.599366218854186	-0.03651455831044791	0.1558820205786541	0.8871428713181057
IV	366198	366598	401	*	8.130655651965785	7.912236416444703	8.320313643231307	-0.03572496827415214	0.15600269685842527	0.8871428713181057
XV	170215	170615	401	*	9.118082144251117	8.84251286334886	9.349361834055752	-0.029386779891490484	0.1561637765646284	0.8871428713181057
XVI	572171	572571	401	*	8.174339061432875	7.952114804290405	8.366858003364959	-0.03478148080881202	0.15807513966551437	0.8871428713181057
I	71014	71414	401	*	8.214374002563652	8.009187845022977	8.393978360799583	-0.03676835232442336	0.15953092608246838	0.8871428713181057
V	225442	225842	401	*	7.4993122710691305	7.159681380983779	7.774029000261831	-0.024395570726061865	0.16046226406382816	0.8871428713181057
II	554692	555092	401	*	9.093361370071387	8.410710246812938	9.554869656305213	-0.013289111302399311	0.16279282028921047	0.8871428713181057
XV	678852	679252	401	*	7.8218361199598485	7.577761786047175	8.030531434746184	-0.031355056367040945	0.1647917410828542	0.8871428713181057
VII	281191	281591	401	*	6.939447724308011	6.57073068882022	7.232852448273	-0.022278883492852373	0.1650996370034452	0.8871428713181057
V	460063	460463	401	*	7.283878400041578	6.905286330703753	7.58348895842522	-0.021351921768472757	0.16695517411968694	0.8871428713181057
VII	405343	405743	401	*	6.380253237650065	6.13456123708079	6.590129336791483	-0.03093544603678177	0.16700287527719077	0.8871428713181057
XIV	355331	355731	401	*	9.441629641603182	9.232392592609411	9.624328864305824	-0.03460985100587002	0.168796559575441	0.8871428713181057
II	415307	415707	401	*	8.824020368397067	8.628682120473496	8.996036587310634	-0.03593859822309963	0.1712213781923181	0.8871428713181057
IV	1251683	1252083	401	*	8.250737780803103	8.046823021472365	8.429367629360057	-0.035310632105932244	0.17134407216060407	0.8871428713181057
V	435539	435939	401	*	7.379854247106752	7.1596014270372486	7.570892539139637	-0.0329280957859382	0.17136115064144952	0.8871428713181057
XIII	610413	610813	401	*	7.876855954325444	7.104340857306175	8.377254154659562	-0.011497640609512163	0.17162164981685601	0.8871428713181057
XV	1091069	1091469	401	*	5.534993859793939	5.836571054430094	5.153249299660102	0.0207870421848316	0.17237803354920747	0.8871428713181057
V	284548	284948	401	*	7.812015574865015	7.585371704562514	8.007841037835659	-0.03205045048083845	0.17384382587801858	0.8871428713181057
IV	520815	521215	401	*	6.796786546854108	6.559626629740819	7.000408885916639	-0.03143518428225057	0.17422488783563297	0.8871428713181057
XV	619214	619614	401	*	8.40507729362719	8.227917252082557	8.562842408161277	-0.03823293171912169	0.17678633371433736	0.8871428713181057
XII	954373	954773	401	*	9.916908450257683	10.15028290823368	9.638357381314327	0.026625649521324776	0.1777799201790194	0.8871428713181057
II	476978	477378	401	*	8.716202977106725	8.518110088098464	8.890350988137618	-0.034558707184467075	0.1791158469386305	0.8871428713181057
XV	94417	94817	401	*	6.1919829601386045	5.90639398873252	6.430272597889981	-0.026236136010025474	0.1804574591025182	0.8871428713181057
XVI	614861	615261	401	*	7.4268819947909375	7.033555831532825	7.73562470313558	-0.01963025403085638	0.181162705579849	0.8871428713181057
VIII	266935	267335	401	*	7.506392287710478	7.2599210054285095	7.71683639169322	-0.029064295543159823	0.18122903146324998	0.8871428713181057
XIII	431554	431954	401	*	9.449492603547275	9.234788883174973	9.636344145159153	-0.03211721283645416	0.18191690840272856	0.8871428713181057
II	347407	347807	401	*	6.4413804078748536	6.176782707739339	6.66488843177972	-0.027178701019285174	0.18271988472112827	0.8871428713181057
XI	389960	390360	401	*	6.470989411774353	6.06912827973054	6.784953532593025	-0.019110481208411485	0.18312569181493615	0.8871428713181057
X	75483	75883	401	*	8.239954089713809	8.044625364931715	8.41196292621897	-0.03440253007684607	0.1836530625304497	0.8871428713181057
I	32857	33257	401	*	7.588020210291184	7.266518316306883	7.850770412224499	-0.022870305181238525	0.1844904865614101	0.8871428713181057
X	150459	150859	401	*	7.567413620775684	7.374453181349978	7.737583855721463	-0.03465745318113879	0.1847621189524898	0.8871428713181057
X	115766	116166	401	*	6.531378403387747	6.314453131385148	6.719909480076788	-0.03175976491867959	0.18694845456337966	0.8871428713181057
IV	599944	600344	401	*	10.200686832408735	9.956060679558869	10.409785194140976	-0.0282682220389421	0.18787606471161444	0.8871428713181057
XV	505185	505585	401	*	8.53755786339807	8.338528214073548	8.712429181891773	-0.03321969883380083	0.18824133060384515	0.8871428713181057
XII	875099	875499	401	*	8.66922317455749	8.493570166998094	8.82579235465197	-0.03622977208045749	0.189547672699724	0.8871428713181057
XV	514603	515003	401	*	8.69057599348743	8.517188014381876	8.845343496579815	-0.036607777030541494	0.18980722200263433	0.8871428713181057
XV	161642	162042	401	*	9.160813434767784	8.971557678701704	9.32809678097342	-0.034071942176750324	0.19067793648272863	0.8871428713181057
IV	62151	62551	401	*	9.25588592175184	9.055824192929327	9.431553184410038	-0.03238563747841175	0.1924163191044356	0.8871428713181057
II	89468	89868	401	*	7.994639339025956	7.7818927478372935	8.180007484380194	-0.03069953101397574	0.193887424357478	0.8871428713181057
V	474491	474891	401	*	7.394708493693995	7.69946670136338	7.00784103783566	0.018675637735264747	0.19508770357448613	0.8871428713181057
VII	974424	974824	401	*	7.453043135968349	7.253218456425802	7.628527674402525	-0.03260592927589552	0.19553097599566482	0.8871428713181057
X	337596	337996	401	*	8.222834704786157	7.969257002152284	8.438434183992024	-0.02656543861961328	0.1956409846971755	0.8871428713181057
IV	386827	387227	401	*	7.08569218332949	6.811984481055493	7.31566033096597	-0.025518770388313287	0.19564421804523421	0.8871428713181057
VII	962850	963250	401	*	7.763213965601969	7.1986274974020406	8.167954504000347	-0.013467273040917965	0.1957157065163877	0.8871428713181057
III	50521	50921	401	*	9.604452682930605	9.35236981322689	9.818971365631512	-0.02625907918418319	0.19892540525525765	0.8871428713181057
III	133347	133747	401	*	8.59840955303597	8.305794383064386	8.841565810595174	-0.02320100954803614	0.19982034167643425	0.8871428713181057
XIII	167390	167790	401	*	7.135603831544282	6.574757709257951	7.538430261963543	-0.013309894609130624	0.19993023274165517	0.8871428713181057
II	135930	136330	401	*	9.462667296494237	9.269990870749556	9.632616679089644	-0.03246458492052956	0.20022031085885011	0.8871428713181057
XV	1003717	1004117	401	*	6.572490958009071	6.3663550361723615	6.752822308824951	-0.03098929950500023	0.20109179961853674	0.8871428713181057
XI	408065	408465	401	*	6.887839248041826	6.630991005300712	7.105796684599039	-0.025861262235891844	0.20122430640526492	0.8871428713181057
II	702776	703176	401	*	6.169476435987389	6.495191616736645	5.748104951422131	0.016761164897060702	0.2025528883197034	0.8871428713181057
VII	397931	398331	401	*	9.317278689508832	9.06733295688401	9.530248819164774	-0.026051169667089404	0.2026575448554317	0.8871428713181057
VII	555303	555703	401	*	7.43172482687137	7.216655617540968	7.618852997309651	-0.02971656736615015	0.2029875226241737	0.8871428713181057
VIII	236040	236440	401	*	9.031927530959727	8.776467001689918	9.248885592811007	-0.025218132290792096	0.20696535504427396	0.8871428713181057
IV	321768	322168	401	*	7.932075937117604	7.71070794560295	8.123952215036512	-0.02821796447432427	0.20709861746912345	0.8871428713181057
XIV	116171	116571	401	*	7.4699210113639385	7.109161551487871	7.758274231881322	-0.01864397993593423	0.2075473514143194	0.8871428713181057
IV	1242243	1242643	401	*	9.329208779541972	9.084684057822063	9.538233076280589	-0.025972702947567032	0.20797925779000112	0.8871428713181057
V	311785	312185	401	*	7.720191297500954	7.532901827253574	7.885937037639656	-0.03235594958062869	0.20804619425365561	0.8871428713181057
VIII	55876	56276	401	*	9.322559365317163	9.125415331697422	9.495973880645058	-0.030664649125606746	0.20870447848405213	0.8871428713181057
XI	108825	109225	401	*	7.638740232471159	7.4370158646147795	7.815687611220045	-0.03025714687932609	0.20901069526258853	0.8871428713181057
III	157455	157855	401	*	7.516447704962952	7.211491997361879	7.7680552336396165	-0.02132014150518729	0.2093982526023262	0.8871428713181057
XVI	309795	310195	401	*	6.552413047985063	6.283746389987766	6.77881508682215	-0.024344873716717313	0.20993487806814304	0.8871428713181057
IX	141720	142120	401	*	7.152609571739898	6.910533819607297	7.359842892617489	-0.02595478408377963	0.2102296254950373	0.8871428713181057
VII	190789	191189	401	*	8.160848343283094	8.458660573616866	7.7851292044079985	0.017870646437576684	0.2117309199191283	0.8871428713181057
XV	673706	674106	401	*	6.797366418902078	6.572526567221123	6.991844348769206	-0.027569321294919978	0.21229165143432427	0.8871428713181057
VII	516280	516680	401	*	7.029572795701533	6.778974622496402	7.243016098390383	-0.025303384198038452	0.21272810099757083	0.8871428713181057
II	628468	628868	401	*	9.125920612798629	8.95512400235017	9.278620614505458	-0.03372111956192993	0.21312870407567908	0.8871428713181057
VII	951251	951651	401	*	7.602231166444529	7.388476832769621	7.788363566964429	-0.027879399491152375	0.21433543889961193	0.8871428713181057
II	9380	9780	401	*	5.571322463196138	5.299012779442066	5.800303762634487	-0.022741198811009302	0.21489945101373364	0.8871428713181057
VII	592627	593027	401	*	10.338973272203845	10.128049991578228	10.522956260225639	-0.0283957493338896	0.21549412286383599	0.8871428713181057
XVI	406245	406645	401	*	7.127682739592219	6.853607809094673	7.357909839821519	-0.02275224612650766	0.2161146916804582	0.8871428713181057
X	404844	405244	401	*	7.655565828260763	7.414764591635732	7.861864987430118	-0.02557336770876336	0.21666671946776864	0.8871428713181057
II	36310	36710	401	*	7.707265473796754	7.5407514374433875	7.856533976772418	-0.03364076737041431	0.2171156876132863	0.8871428713181057
XIV	349883	350283	401	*	9.246007152768684	9.075841127879444	9.398203035983583	-0.03334350908235756	0.21726467439466696	0.8871428713181057
VIII	455619	456019	401	*	7.004726180592264	6.783254960996537	7.196679971008516	-0.027562631064917388	0.21743237434978804	0.8871428713181057
II	269901	270301	401	*	6.570071072972541	6.804702916218539	6.2897251352501025	0.022083352356395004	0.2183050577613268	0.8871428713181057
VII	423026	423426	401	*	7.282044805692006	7.048716401153849	7.482837810940814	-0.02641375399370796	0.2184606089517679	0.8871428713181057
IV	1450810	1451210	401	*	6.269910498475083	6.000764589141313	6.496652482974936	-0.02326264559149299	0.21905456811864898	0.8871428713181057
I	68370	68770	401	*	8.861347843869709	8.677365388176751	9.024499104658856	-0.031171026049693084	0.21985968913551182	0.8871428713181057
III	78119	78519	401	*	8.747595532291548	8.442548160837132	8.999265381722987	-0.02047657636924207	0.22001594502497032	0.8871428713181057
XIII	388277	388677	401	*	8.315105490919164	8.04878876525474	8.539837862759278	-0.022861682505279837	0.2208706566236464	0.8871428713181057
V	131229	131629	401	*	7.096528152847852	6.824665386044437	7.325193633464826	-0.022135568425359315	0.22519606017562158	0.8871428713181057
IV	94125	94525	401	*	6.895278071077268	6.116510412390837	7.3982558206150655	-0.008972034037900273	0.22621578927882893	0.8871428713181057
II	165039	165439	401	*	9.624583284264661	9.46303954918738	9.769846129952288	-0.03275518735062574	0.23072404450569636	0.8871428713181057
